,Calories 2050,ΔCalories,Population 2050,min_lon,min_lat,max_lon,max_lat,percent_change_in_production
0,138056116835440.4,76845515482718.3,143756.88253322354,34.305,-31.25,34.430499999999995,-31.017,125.54282066255324
0,191247153413018.4,99394851847325.72,143977.8315246698,34.3805,-31.434999999999995,34.50599999999999,-31.017,108.21160727936534
0,9848619889881.71,9848619889881.71,15569.568568269773,34.3805,-31.066999999999997,34.50599999999999,-30.83,inf
0,68251808014842.63,31336380682449.16,82700.27391103833,34.455999999999996,-31.42,34.5815,-31.384999999999998,84.88695092241649
0,204366059887487.38,111366173540567.5,54203.63336435075,34.455999999999996,-31.434999999999995,34.5815,-31.017,119.74872004158735
0,3363905749518.2524,3363905749518.2524,5333.895370969697,34.455999999999996,-31.066999999999997,34.5815,-31.0,inf
0,176286024523037.25,72667706562351.03,198107.6670367467,34.5315,-31.58,34.657,-31.384999999999998,70.13017388481624
0,149799864748441.3,84241829300583.73,30896.849007086425,34.5315,-31.434999999999995,34.657,-31.017,128.49962437874845
0,2568454838892.839,2568454838892.839,10087.632927377344,34.5315,-31.066999999999997,34.657,-30.92,inf
0,16271082425084.598,16271082425084.598,6004.299956685842,34.5315,-30.698999999999998,34.657,-30.42,inf
0,270540847609578.12,72506109187860.97,291321.46750454966,34.607,-31.802999999999997,34.732499999999995,-31.384999999999998,36.61282347012189
0,129251973650624.67,62603184495807.53,30950.641417478768,34.607,-31.434999999999995,34.732499999999995,-31.017,93.92996525471429
0,28512736521172.39,28512736521172.39,9808.890437162478,34.607,-31.066999999999997,34.732499999999995,-30.92,inf
0,6439409177773.509,6439409177773.509,4934.675664090983,34.607,-30.5,34.732499999999995,-30.281,inf
0,7488185774772.081,7488185774772.081,5593.966115428546,34.607,-30.330999999999996,34.732499999999995,-30.17,inf
0,71175745383814.08,2328914621832.136,499609.2370667036,34.6825,-31.92,34.808,-31.753,3.382747754771298
0,260141474849529.97,72729047119605.72,344935.60718146036,34.6825,-31.802999999999997,34.808,-31.384999999999998,38.80694999822203
0,94999801555324.94,32764181522615.973,34691.65904930991,34.6825,-31.434999999999995,34.808,-31.017,52.64538459711048
0,16029584016684.52,16029584016684.52,19296.804673471466,34.6825,-31.066999999999997,34.808,-30.649,inf
0,12656290779867.87,12656290779867.87,7569.614642565513,34.6825,-30.5,34.808,-30.281,inf
0,2092614431208.831,2092614431208.831,11327.525758652098,34.6825,-30.330999999999996,34.808,-30.08,inf
0,42959552738002.586,16797274714749.234,268419.23763866577,34.758,-32.17,34.8835,-32.121,64.20417480396627
0,124969540641538.38,26190938971932.05,1587099.7229578206,34.758,-32.171,34.8835,-31.753,26.51479017645464
0,228362037796144.16,48336176646975.56,494469.6167646715,34.758,-31.802999999999997,34.8835,-31.384999999999998,26.849573910341928
0,129549990788410.08,69841112364193.96,48577.65854191188,34.758,-31.434999999999995,34.8835,-31.017,116.96939250473095
0,3937021194075.471,3937021194075.471,15245.480409790282,34.758,-31.066999999999997,34.8835,-30.649,inf
0,14786126784480.375,14786126784480.375,9943.149180455763,34.758,-30.698999999999998,34.8835,-30.281,inf
0,12058016228850.918,12058016228850.918,13576.13742612707,34.758,-30.330999999999996,34.8835,-30.08,inf
0,197201065543605.7,66990487585478.016,500976.72016064444,34.8335,-32.538999999999994,34.958999999999996,-32.121,51.44780757137903
0,165318093786291.47,80633492269581.31,953544.7166219315,34.8335,-32.171,34.958999999999996,-31.753,95.21623863775343
0,205861795481053.8,26621589557571.96,605660.3073071454,34.8335,-31.802999999999997,34.958999999999996,-31.384999999999998,14.852465394364023
0,61231192591537.53,31417760615058.812,60656.055219181064,34.8335,-31.434999999999995,34.958999999999996,-31.017,105.38122762869375
0,11088788552214.293,11088788552214.293,20473.12465610072,34.8335,-31.066999999999997,34.958999999999996,-30.649,inf
0,6285569686497.301,6285569686497.301,8196.007256142468,34.8335,-30.42,34.958999999999996,-30.281,inf
0,5005974902247.547,5005974902247.547,14900.053113303915,34.8335,-30.330999999999996,34.958999999999996,-29.912999999999997,inf
0,945820677241.521,354653561966.3504,7442.468945274521,34.8335,-29.962999999999994,34.958999999999996,-29.544999999999998,59.99209915478294
0,133145034516490.17,32501268630509.164,509038.4686734937,34.909,-32.75,35.034499999999994,-32.489,32.293374899474415
0,194786451521997.88,36147527985561.516,387965.9789723338,34.909,-32.538999999999994,35.034499999999994,-32.121,22.786039629964527
0,89326211760293.1,36066200755290.53,291846.9437779691,34.909,-32.171,35.034499999999994,-31.753,67.71722362562586
0,60856008884000.516,-451211976796.7031,304923.3897224351,34.909,-31.802999999999997,35.034499999999994,-31.67,-0.7359850446021943
0,94711344134085.47,39843719099473.62,57195.11377369023,34.909,-31.434999999999995,35.034499999999994,-31.017,72.61790368061168
0,9471684818291.209,9471684818291.209,15834.084966480053,34.909,-31.066999999999997,35.034499999999994,-30.649,inf
0,10586122883904.607,10586122883904.607,6357.284864549647,34.909,-30.5,35.034499999999994,-30.281,inf
0,5970409929890.401,5970409929890.401,19664.904804090147,34.909,-30.330999999999996,35.034499999999994,-29.912999999999997,inf
0,2227118103376.8447,2227118103376.8447,9238.957626228725,34.909,-29.962999999999994,35.034499999999994,-29.75,inf
0,206681893962958.66,39130501690319.06,431714.3238440636,34.9845,-32.907,35.10999999999999,-32.489,23.354327982333878
0,167261378316728.66,37837075618815.58,240568.10601668636,34.9845,-32.538999999999994,35.10999999999999,-32.25,29.234907841945578
0,27395095179767.0,6144011291236.763,149880.77057582294,34.9845,-31.802999999999997,35.10999999999999,-31.75,28.91151963572476
0,45652044390009.695,6481467982834.699,53958.23327727163,34.9845,-31.434999999999995,35.10999999999999,-31.017,16.546777140730207
0,2229255791385.696,2229255791385.696,5144.9550865337815,34.9845,-30.83,35.10999999999999,-30.83,inf
0,1038215102752.5215,1038215102752.5215,11381.31816904444,34.9845,-30.698999999999998,35.10999999999999,-30.281,inf
0,5062639326320.908,5062639326320.908,4049.101436805468,34.9845,-30.08,35.10999999999999,-30.08,inf
0,128350363757490.98,34419402254110.484,41529.519084389496,35.1355,-33.0,35.260999999999996,-32.857,36.64329812366687
0,216804913207942.72,59632132862983.445,144626.00784162874,35.1355,-32.907,35.260999999999996,-32.489,37.94049626920397
0,35327209605703.03,5586851396949.867,38621.61696557696,35.1355,-32.538999999999994,35.260999999999996,-32.5,18.78542066553035
0,21742009701546.434,14780518637502.363,186065.28015486413,35.1355,-31.802999999999997,35.260999999999996,-31.384999999999998,212.3182878714501
0,18399433069041.137,12248716170431.852,42551.57488184402,35.1355,-31.434999999999995,35.260999999999996,-31.17,199.14290272734485
0,2857860429153.8765,2857860429153.8765,2900.344507435097,35.1355,-30.5,35.260999999999996,-30.5,inf
0,140335549549309.4,20022665287434.414,56107.2623007145,35.211,-33.08,35.336499999999994,-32.857,16.642162151023456
