,Calories 2050,ΔCalories,Population 2050,min_lon,min_lat,max_lon,max_lat,percent_change_in_production
0,7717541636271.982,7717541636271.982,2197.931214708633,-9.275,-43.18584745762712,-9.122833333333332,-43.0085593220339,inf
0,10579119297830.77,10579119297830.77,5626.863953189151,-9.275,-43.0585593220339,-9.122833333333332,-42.88127118644068,inf
0,9219623497954.578,2513151780647.645,2201.932303084923,-9.172833333333333,-43.17,-9.020666666666667,-43.13584745762712,37.47353133782889
0,15829366267595.64,4776587385883.646,2057.8931215384837,-9.172833333333333,-43.18584745762712,-9.020666666666667,-43.0085593220339,43.21616705629587
0,21393390736800.508,21393390736800.508,5377.0182123586,-9.172833333333333,-43.0585593220339,-9.020666666666667,-42.88127118644068,inf
0,9148241991190.752,2534916641852.5566,2449.999782414903,-9.070666666666668,-43.17,-8.9185,-43.13584745762712,38.33043904465141
0,18215704492173.8,5530658687002.222,2296.624727990453,-9.070666666666668,-43.18584745762712,-8.9185,-43.0085593220339,43.59983221146449
0,39245093737616.41,21779448983175.207,6954.780728742284,-9.070666666666668,-43.0585593220339,-8.9185,-42.88127118644068,124.69879749293015
0,9240415725788.25,789029579300.9932,9351.877231515133,-9.070666666666668,-42.67,-8.9185,-42.62669491525424,9.336096654735693
0,16307302613503.2,7563585894549.202,5501.05195202359,-8.9685,-43.31313559322034,-8.816333333333333,-43.13584745762712,86.50309859825865
0,34644166300094.61,11792430653548.66,2577.5900450810386,-8.9685,-43.18584745762712,-8.816333333333333,-43.0085593220339,51.60409185518952
0,40456029964631.2,4348196509002.2812,7682.978813227063,-8.9685,-43.0585593220339,-8.816333333333333,-42.88127118644068,12.042252588612268
0,5476246615086.278,-330186921140.0879,8281.808373545131,-8.9685,-42.931271186440675,-8.816333333333333,-42.75398305084746,-5.686570234207455
0,1641922415746.2258,1641922415746.2258,10340.146060458756,-8.9685,-42.80398305084746,-8.816333333333333,-42.62669491525424,inf
0,49222765885852.5,29243072003627.855,22461.221013741702,-8.866333333333333,-43.31313559322034,-8.714166666666666,-43.13584745762712,146.36396421290803
0,48039204105433.234,25047556648954.93,6082.543462711068,-8.866333333333333,-43.18584745762712,-8.714166666666666,-43.0085593220339,108.94198293692665
0,35516261581834.3,35516261581834.3,19627.116747202963,-8.866333333333333,-43.0585593220339,-8.714166666666666,-42.88127118644068,inf
0,17943367881781.457,6470983866695.24,15343.284792321814,-8.866333333333333,-42.931271186440675,-8.714166666666666,-42.75398305084746,56.40487503021061
0,23786407026168.062,13128269454664.94,38774.102889251124,-8.866333333333333,-42.80398305084746,-8.714166666666666,-42.62669491525424,123.17601801055993
0,44451719154354.664,-1481986856066.4688,46434.853433721015,-8.866333333333333,-42.67669491525424,-8.714166666666666,-42.49940677966102,-3.2263603022369747
0,35459233889749.94,3728771622739.5605,89282.06429003534,-8.866333333333333,-42.54940677966102,-8.714166666666666,-42.3721186440678,11.751393948698642
0,4894657503091.246,4894657503091.246,50840.49630139144,-8.866333333333333,-42.422118644067794,-8.714166666666666,-42.24483050847458,inf
0,28203131817199.785,11212380892291.098,114462.6917035288,-8.866333333333333,-42.294830508474575,-8.714166666666666,-42.11754237288136,65.99108504294288
0,3130190652626.135,3130190652626.135,11793.87483717745,-8.866333333333333,-42.16754237288136,-8.714166666666666,-41.99025423728814,inf
0,27392288299392.516,27392288299392.516,12735.46430173103,-8.764166666666666,-43.31313559322034,-8.612,-43.13584745762712,inf
0,8913778041572.184,8913778041572.184,4564.352706596589,-8.764166666666666,-43.18584745762712,-8.612,-43.0085593220339,inf
0,26805836270255.86,7212194790141.755,27877.360979112917,-8.764166666666666,-43.0585593220339,-8.612,-42.88127118644068,36.80885351230665
0,12531475426182.56,12531475426182.56,13206.25903400782,-8.764166666666666,-42.931271186440675,-8.612,-42.75398305084746,inf
0,27362478137843.977,-745417780348.6954,21860.168626547922,-8.764166666666666,-42.80398305084746,-8.612,-42.62669491525424,-2.65198712318494
0,10991098943506.8,10991098943506.8,16955.278842591542,-8.764166666666666,-42.67669491525424,-8.612,-42.49940677966102,inf
0,31414629000437.312,14560770376654.238,60610.70955091646,-8.764166666666666,-42.54940677966102,-8.612,-42.3721186440678,86.39428336076713
