,Calories 2050,ΔCalories,Population 2050,min_lon,min_lat,max_lon,max_lat,percent_change_in_production
0,646256767768.6635,646256767768.6635,0.0,-140.945,-69.5,-140.58,-69.14174418604651,inf
0,984389822724.255,984389822724.255,0.0,-140.945,-69.19174418604652,-140.38232558139532,-68.66197674418603,inf
0,590839968353.9504,590839968353.9504,0.0,-140.945,-68.58,-140.58,-68.33,inf
0,1055679773381.2665,1055679773381.2665,0.0,-140.945,-68.23220930232559,-140.38232558139532,-68.0,inf
0,1452004669666.7224,1452004669666.7224,0.0,-140.945,-67.75244186046513,-140.38232558139532,-67.22267441860464,inf
0,1024968456207.3468,1024968456207.3468,0.0,-140.945,-67.27267441860465,-140.38232558139532,-66.74290697674418,inf
0,834673486543.4456,834673486543.4456,0.0,-140.945,-66.79290697674419,-140.38232558139532,-66.42,inf
0,1336117069941.068,1336117069941.068,0.0,-140.945,-66.31313953488373,-140.38232558139532,-65.78337209302325,inf
0,1315643545339.9292,1315643545339.9292,0.0,-140.945,-65.58,-140.38232558139532,-65.30360465116279,inf
0,1312874160988.4424,1312874160988.4424,0.0,-140.945,-65.08,-140.38232558139532,-64.82383720930233,inf
0,1876970993747.4758,1876970993747.4758,0.0,-140.945,-64.87383720930234,-140.38232558139532,-64.34406976744185,inf
0,2056969470482.6353,2056969470482.6353,0.0,-140.945,-64.39406976744186,-140.38232558139532,-63.8643023255814,inf
0,2637017541249.9497,2637017541249.9497,0.0,-140.945,-63.914302325581396,-140.38232558139532,-63.38453488372093,inf
0,1098991722751.1978,1098991722751.1978,0.0,-140.945,-63.43453488372093,-140.58,-63.08,inf
0,3372538404576.508,3372538404576.508,11.113657823221896,-140.945,-62.95476744186046,-140.38232558139532,-62.425000000000004,inf
0,4649144417582.398,4649144417582.398,23.11640827230155,-140.945,-62.475,-140.38232558139532,-61.94523255813953,inf
0,5208593944512.949,5208593944512.949,0.0,-140.945,-61.99523255813953,-140.38232558139532,-61.46546511627907,inf
0,1082572709127.184,1082572709127.184,0.0,-140.75,-61.51546511627907,-140.38232558139532,-60.98569767441861,inf
0,194822818138.5188,194822818138.5188,0.0,-140.945,-61.03569767441861,-140.38232558139532,-60.83,inf
0,1320804639062.7996,1320804639062.7996,0.0,-140.43232558139533,-69.33,-139.8696511627907,-69.14174418604651,inf
0,183157877883.62387,183157877883.62387,0.0,-140.25,-69.0,-140.08,-68.92,inf
0,1562301260438.1594,1562301260438.1594,0.0,-140.43232558139533,-68.58,-139.8696511627907,-68.18220930232557,inf
