,Calories 2050,ΔCalories,Population 2050,min_lon,min_lat,max_lon,max_lat,percent_change_in_production
0,2144406747457.4119,1258715687114.2358,5270.096539771824,-78.94500000000001,-1.67,-78.80797101449275,-1.67,142.11678806225336
0,71720809458742.97,41049084635626.62,25222.224156645636,-78.85797101449276,-1.67,-78.7209420289855,-1.5167391304347828,133.8336362638764
0,53098250357513.414,31983040199668.61,25206.220489380194,-78.85797101449276,-1.5667391304347826,-78.7209420289855,-1.2750000000000008,151.46920139833958
0,19745257083935.957,3179303253019.731,19303.979092623507,-78.77094202898552,-1.8084782608695664,-78.63391304347826,-1.5167391304347828,19.191791100409517
0,34752982386221.477,11033494722970.223,17592.920334160262,-78.77094202898552,-1.5667391304347826,-78.63391304347826,-1.2750000000000008,46.51658113199672
0,980942113705.7264,750758148246.8396,2108.9277085345875,-78.68391304347827,-2.33,-78.54688405797101,-2.2419565217391306,326.15571060745003
0,974738713986.7223,-110507007016.53183,5397.681331582411,-78.68391304347827,-2.2919565217391304,-78.54688405797101,-2.0002173913043486,-10.182671525705144
0,4289401087159.474,-171786113842.74045,18470.010209568936,-78.68391304347827,-1.8084782608695664,-78.54688405797101,-1.5167391304347828,-3.8506815809959405
0,27923673261258.016,2006066817966.4902,15678.703910688524,-78.68391304347827,-1.5667391304347826,-78.54688405797101,-1.2750000000000008,7.740170074562336
0,708668612902.9548,548506654200.3206,2653.4969418724604,-78.68391304347827,-1.3250000000000006,-78.54688405797101,-1.25,342.4699963982766
0,2713826140870.577,2648063439746.416,5261.205613513246,-78.59688405797102,-2.5336956521739142,-78.45985507246377,-2.2419565217391306,4026.695063432425
0,2009023595377.456,1811689800772.796,5097.612570355421,-78.59688405797102,-2.2919565217391304,-78.45985507246377,-2.0002173913043486,918.0839016461157
0,3257979170080.322,2601982623394.035,5897.3513873144675,-78.59688405797102,-2.0502173913043484,-78.45985507246377,-1.7584782608695666,396.6457806123736
0,19548933507437.184,10462526809183.82,14701.591114870856,-78.59688405797102,-1.8084782608695664,-78.45985507246377,-1.5167391304347828,115.14482189307004
0,24878310754400.703,13330723237579.92,7348.795099027248,-78.59688405797102,-1.5667391304347826,-78.45985507246377,-1.2750000000000008,115.4416298483275
0,8327667204248.332,8327667204248.332,1047.3511132604317,-78.59688405797102,-1.3250000000000006,-78.45985507246377,-1.25,inf
0,675451911911.0792,675451911911.0792,455.21542443916894,-78.50985507246378,-2.58,-78.37282608695652,-2.4836956521739144,inf
0,4758950055010.787,3739659180814.885,5878.680442171456,-78.50985507246378,-2.5336956521739142,-78.37282608695652,-2.2419565217391306,366.8883216250734
0,3230397084262.3936,1618936352508.2556,7269.665855325908,-78.50985507246378,-2.2919565217391304,-78.37282608695652,-2.0002173913043486,100.46390337702987
0,11557115864725.45,9818748664114.547,4894.010359033995,-78.50985507246378,-2.0502173913043484,-78.37282608695652,-1.7584782608695666,564.825927494721
0,6148143346051.35,-2774224886920.2197,8877.589869189655,-78.50985507246378,-1.8084782608695664,-78.37282608695652,-1.5167391304347828,-31.092920786080047
0,941637297040.7627,-2731143197738.799,4297.873753396372,-78.50985507246378,-1.5667391304347826,-78.37282608695652,-1.2750000000000008,-74.36173225219443
0,3964748687047.66,3768304811643.4204,1195.8295817786761,-78.50985507246378,-1.3250000000000006,-78.37282608695652,-1.17,1918.260268429876
0,615139341318.5867,615139341318.5867,526.3428345077891,-78.42282608695653,-2.58,-78.28579710144928,-2.4836956521739144,inf
0,3952369651709.065,696989130593.3773,6112.956349084972,-78.42282608695653,-2.5336956521739142,-78.28579710144928,-2.2419565217391306,21.41037356685125
0,8836482420608.71,7093510124561.091,8553.515607064503,-78.42282608695653,-2.2919565217391304,-78.28579710144928,-2.0002173913043486,406.9777896439547
0,4957435298913.693,1119854928790.283,3650.614321771929,-78.42282608695653,-2.0502173913043484,-78.28579710144928,-1.7584782608695666,29.181276241369524
0,2123794545216.8833,-1845273909988.6873,4056.0405591630642,-78.42282608695653,-1.8084782608695664,-78.28579710144928,-1.5167391304347828,-46.49136014695203
0,122761384433.79962,122761384433.79962,851.7507355717262,-78.42282608695653,-1.33,-78.28579710144928,-1.2750000000000008,inf
0,8408472266177.898,7524447652971.906,1334.5280314124852,-78.42282608695653,-1.3250000000000006,-78.28579710144928,-1.17,851.1581624049859
0,1885290172243.149,570064766524.8038,5455.916898576095,-78.33579710144929,-2.5336956521739142,-78.19876811594203,-2.2419565217391306,43.34350325398768
0,1846924095467.9448,-2362881999221.2515,4704.633629726293,-78.33579710144929,-2.2919565217391304,-78.19876811594203,-2.0002173913043486,-56.12804832512599
0,9176010729967.957,5174513611867.732,1814.6380493756715,-78.33579710144929,-2.0502173913043484,-78.19876811594203,-1.7584782608695666,129.31444054930162
0,12123616908975.334,10254046203883.69,4290.761012389511,-78.33579710144929,-1.8084782608695664,-78.19876811594203,-1.5167391304347828,548.4706288966506
0,1020198744980.029,954721899333.3778,3793.758234535027,-78.33579710144929,-1.5667391304347826,-78.19876811594203,-1.2750000000000008,1458.106128822359
0,14093091532044.574,10982415359585.05,1996.012945050653,-78.33579710144929,-1.3250000000000006,-78.19876811594203,-1.0332608695652188,353.0555657582822
0,267855447193.474,267855447193.474,956.219119110012,-78.24876811594204,-2.58,-78.11173913043478,-2.4836956521739144,inf
0,4544076365696.554,-2854500549664.9404,4988.698723687846,-78.24876811594204,-2.5336956521739142,-78.11173913043478,-2.2419565217391306,-38.58175136002448
0,8739291908401.955,1832717799314.7153,2994.463963888908,-78.24876811594204,-2.2919565217391304,-78.11173913043478,-2.0002173913043486,26.53584498432209
0,7268637537576.811,4841308412204.899,1337.1953092900585,-78.24876811594204,-2.0502173913043484,-78.11173913043478,-1.7584782608695666,199.4500194308476
0,8208335927457.68,5356044844933.433,4015.586844686536,-78.24876811594204,-1.8084782608695664,-78.11173913043478,-1.5167391304347828,187.78044350906114
0,3201764860431.923,2088638984937.8198,3477.685806042596,-78.24876811594204,-1.5667391304347826,-78.11173913043478,-1.2750000000000008,187.6372682479148
0,6077931503174.061,2574439776461.3853,2157.383256643835,-78.24876811594204,-1.3250000000000006,-78.11173913043478,-1.0332608695652188,73.48211376759781
0,647831986350.1497,222132370816.36908,1477.2273978626547,-78.24876811594204,-1.0832608695652186,-78.11173913043478,-1.0,52.18054297226449
0,273609255371.8097,273609255371.8097,1250.064231955999,-78.1617391304348,-2.58,-78.02471014492752,-2.4836956521739144,inf
0,6925909260099.273,2519726907341.856,4697.076342406503,-78.1617391304348,-2.5336956521739142,-78.02471014492752,-2.2419565217391306,57.18616946856485
0,5406702601560.805,4485789338963.158,2251.6270749847567,-78.1617391304348,-2.2919565217391304,-78.02471014492752,-2.0002173913043486,487.10226262894327
0,7881396205510.342,6766164484941.747,1310.0779842013972,-78.1617391304348,-2.0502173913043484,-78.02471014492752,-1.7584782608695666,606.7048094266952
0,3130085919529.2803,183255456460.59705,3877.7774876785843,-78.1617391304348,-1.8084782608695664,-78.02471014492752,-1.5167391304347828,6.218730896034108
0,15760680284623.246,13894556250703.332,3426.5629800557754,-78.1617391304348,-1.5667391304347826,-78.02471014492752,-1.2750000000000008,744.5676706449635
0,3375536260007.7324,1083438460010.0226,3072.2595686514614,-78.1617391304348,-1.3250000000000006,-78.02471014492752,-1.0332608695652188,47.26842196747037
0,3746349456161.0425,3746349456161.0425,2196.947878494505,-78.1617391304348,-1.0832608695652186,-78.02471014492752,-1.0,inf
0,1278921121041.127,913487469075.6495,2316.5308366723725,-78.07471014492754,-2.7754347826086962,-77.93768115942028,-2.4836956521739144,249.97354900471697
0,6487657641101.534,6093066999502.332,4741.086427386463,-78.07471014492754,-2.5336956521739142,-77.93768115942028,-2.2419565217391306,1544.1488867572402
