,Calories 2050,ΔCalories,Population 2050,min_lon,min_lat,max_lon,max_lat,percent_change_in_production
0,1588741350822.706,1428728895014.9604,10314.363552575778,9.555,-1.4489999999999998,9.685,-1.2810000000000001,892.8860492782968
0,414819617359.394,343169416140.3433,5930.247814471205,9.555,-1.331,9.685,-1.1630000000000003,478.95108499583665
0,710710601455.7715,710710601455.7715,9582.195775181923,9.555,-1.213,9.685,-1.0450000000000002,inf
0,421706392842.7868,421706392842.7868,5308.772068996635,9.635,-1.685,9.765,-1.5170000000000001,inf
0,269209077939.2805,214206950997.76028,5546.604346413586,9.635,-1.567,9.765,-1.399,389.45212287065027
0,223374468173.0509,183371354221.1145,5724.422871585136,9.635,-1.4489999999999998,9.765,-1.42,458.3927002318733
0,46420961832.17209,46420961832.17209,5566.164384182455,9.635,-1.213,9.765,-1.0450000000000002,inf
0,8935107061866.678,8935107061866.678,10629.102342129423,9.715,-1.803,9.845,-1.6350000000000002,inf
0,1157843237396.4082,1157843237396.4082,5797.7730132184,9.715,-1.685,9.845,-1.5170000000000001,inf
0,1082154631389.0166,1082154631389.0166,5674.189138224172,9.715,-1.567,9.845,-1.399,inf
0,657499300205.1256,657499300205.1256,5120.728978627722,9.715,-1.4489999999999998,9.845,-1.42,inf
0,84775822148.60373,84775822148.60373,4332.548365804825,9.715,-1.331,9.845,-1.1630000000000003,inf
0,2463742537207.4204,1983747062618.4536,9559.523913222547,9.715,-1.213,9.845,-1.0450000000000002,413.28453446716145
0,188124528749.6128,188124528749.6128,1289.628853806669,9.795,-2.275,9.925,-2.107,inf
0,50534798438.05751,50534798438.05751,2741.0725655194487,9.795,-2.157,9.925,-1.9890000000000003,inf
0,1697178364479.3313,1697178364479.3313,8887.814434387017,9.795,-2.039,9.925,-1.871,inf
0,5835956369356.128,5835956369356.128,5221.196445349648,9.795,-1.9209999999999998,9.925,-1.7530000000000001,inf
0,4209808968151.975,4209808968151.975,11627.10881465475,9.795,-1.803,9.925,-1.6350000000000002,inf
0,124526474514.69405,124526474514.69405,5289.656577540694,9.795,-1.685,9.925,-1.5170000000000001,inf
0,50708178627.58587,50708178627.58587,4493.918677398006,9.795,-1.567,9.925,-1.399,inf
