,Calories 2050,ΔCalories,Population 2050,min_lon,min_lat,max_lon,max_lat,percent_change_in_production
0,14506630366433.92,-4611181351350.432,134988.71065241782,-16.775,-13.520000000000001,-16.55794117647059,-13.38625,-24.119817787832265
0,48761475092976.33,-13458652867894.703,137925.383595626,-16.775,-13.436250000000001,-16.55794117647059,-13.3025,-21.630705864762245
0,48650367003326.875,-8667447797593.707,86718.98290197461,-16.775,-13.352500000000001,-16.55794117647059,-13.21875,-15.121734538725818
0,29238038544666.918,-4276748534025.0195,45108.55891920597,-16.775,-13.26875,-16.55794117647059,-13.135,-12.760780857665344
0,53896089995191.98,-11995300934919.684,37621.06537054491,-16.607941176470586,-13.6875,-16.390882352941176,-13.553749999999999,-18.204655821642334
0,46701828134098.16,-9818485130305.75,40763.56325663914,-16.607941176470586,-13.60375,-16.390882352941176,-13.47,-17.371604230809112
0,39879005899413.2,9630410740731.73,28116.220653812612,-16.607941176470586,-13.520000000000001,-16.390882352941176,-13.38625,31.837547133053423
0,62939108482626.5,-4601949949577.619,51158.389691855045,-16.607941176470586,-13.352500000000001,-16.390882352941176,-13.21875,-6.813559124479706
0,75439422503342.67,4174874153712.824,36895.121241532055,-16.607941176470586,-13.26875,-16.390882352941176,-13.135,5.8582763104461755
0,49162437019916.17,-20137985677578.516,31527.22451291588,-16.440882352941173,-13.6875,-16.223823529411767,-13.553749999999999,-29.058965145830975
0,26808516505827.004,-4647327384698.344,25254.231491176513,-16.440882352941173,-13.60375,-16.223823529411767,-13.47,-14.774130367865101
0,5328629021618.898,5328629021618.898,7124.743757311095,-16.25,-13.520000000000001,-16.223823529411767,-13.38625,inf
0,5821155205082.817,5821155205082.817,5936.471462852211,-16.440882352941173,-13.436250000000001,-16.223823529411767,-13.3025,inf
0,40467789432044.34,-3281677376903.648,19071.48137096171,-16.440882352941173,-13.352500000000001,-16.223823529411767,-13.21875,-7.5010682786937455
0,37274123049339.91,-1826455891527.871,18281.522572887094,-16.440882352941173,-13.26875,-16.223823529411767,-13.135,-4.671173524796258
0,16819481300857.09,-6055968851506.077,17161.265864306326,-16.273823529411764,-13.6875,-16.056764705882355,-13.553749999999999,-26.47365980197098
0,4653894860575.273,193249663624.8662,11178.117038596585,-16.273823529411764,-13.60375,-16.056764705882355,-13.47,4.332325372055701
0,25044363167513.53,5309805093270.543,7651.086591818886,-16.273823529411764,-13.520000000000001,-16.056764705882355,-13.38625,26.90612616352812
0,9193697703210.934,-698009112598.5605,6351.23317281485,-16.273823529411764,-13.436250000000001,-16.056764705882355,-13.3025,-7.0565083013071295
0,18777142098469.18,-5052036412833.004,9275.458819260995,-16.273823529411764,-13.352500000000001,-16.056764705882355,-13.21875,-21.20105151940853
0,10579074396833.627,-5995775150529.232,8964.276400210783,-16.273823529411764,-13.26875,-16.056764705882355,-13.135,-36.17393408848885
0,56624243027670.19,-31174584266608.78,55322.45500505982,-16.10676470588235,-13.6875,-15.88970588235294,-13.553749999999999,-35.506834461603496
0,14594846122345.578,-4256920958424.841,32579.46563561853,-16.10676470588235,-13.60375,-15.88970588235294,-13.47,-22.581018215353797
0,51435390563462.22,-2164119648398.8965,22733.653896869786,-16.10676470588235,-13.520000000000001,-15.88970588235294,-13.38625,-4.037573552155327
0,44785716823160.836,-2128953899081.6133,20159.730745011595,-16.10676470588235,-13.436250000000001,-15.88970588235294,-13.3025,-4.5379278300514025
0,51760924848243.016,-6669552186367.055,26506.073908384227,-16.10676470588235,-13.352500000000001,-15.88970588235294,-13.21875,-11.414509216511249
0,27680080794165.234,-3604735315241.884,25492.952861219317,-16.10676470588235,-13.26875,-15.88970588235294,-13.135,-11.522315818113327
0,27785173289619.6,-20987757057752.45,36328.32469254774,-15.939705882352941,-13.6875,-15.72264705882353,-13.553749999999999,-43.03156875806478
0,31360692121730.67,-12928125348172.566,16979.001876005488,-15.939705882352941,-13.520000000000001,-15.72264705882353,-13.38625,-29.19049567525247
0,43110022725311.7,-4275567900739.199,15586.238277599317,-15.939705882352941,-13.436250000000001,-15.72264705882353,-13.3025,-9.022928371792094
0,24852364837622.81,-199269561928.88483,16674.487651649204,-15.939705882352941,-13.352500000000001,-15.72264705882353,-13.21875,-0.795435374597564
0,14183225748934.855,-5975628781737.92,19173.28247662242,-15.77264705882353,-13.6875,-15.555588235294117,-13.553749999999999,-29.642700048485793
0,20637672546026.016,-6563633761589.586,12770.481931507815,-15.77264705882353,-13.520000000000001,-15.555588235294117,-13.38625,-24.12984761600201
0,16894370944073.76,-1210445286732.0996,8653.538527473498,-15.77264705882353,-13.436250000000001,-15.555588235294117,-13.3025,-6.685764005008199
0,35566157638974.984,-39873604651897.95,37687.747317484245,-15.605588235294118,-13.855,-15.388529411764706,-13.72125,-52.854891692470304
0,49190923476000.625,-50575301318947.016,58084.86579359986,-15.605588235294118,-13.77125,-15.388529411764706,-13.6375,-50.693810879278914
0,34201073937333.164,-22832072472142.094,53128.618950755816,-15.605588235294118,-13.6875,-15.388529411764706,-13.553749999999999,-40.032987673899164
0,20178425694596.742,-10632438891557.363,36806.65652525921,-15.605588235294118,-13.60375,-15.388529411764706,-13.47,-34.508732664176534
0,60758631466766.875,-11656140455723.531,36686.629020768414,-15.605588235294118,-13.520000000000001,-15.388529411764706,-13.38625,-16.09635734018434
0,41593839882470.414,742511038207.3672,16469.996347701926,-15.605588235294118,-13.436250000000001,-15.388529411764706,-13.3025,1.8175933542774914
0,29276014188582.906,-40864541740602.5,24830.134308642366,-15.438529411764707,-13.855,-15.221470588235293,-13.72125,-58.260932208549555
0,24530687646704.4,-28164089188304.36,23343.571438208204,-15.438529411764707,-13.77125,-15.221470588235293,-13.6375,-53.447591734733415
0,28032171438496.156,-20775169124441.742,21554.717074982404,-15.438529411764707,-13.6875,-15.221470588235293,-13.553749999999999,-42.565665092224826
0,14770305945968.172,-5567645078345.152,20249.973646536153,-15.438529411764707,-13.60375,-15.221470588235293,-13.47,-27.375644044423275
0,19407199985280.465,-2404938582930.035,9008.286485190742,-15.438529411764707,-13.520000000000001,-15.221470588235293,-13.38625,-11.025689092380176
0,26104625355503.14,-37314076345914.72,21026.151508909974,-15.271470588235294,-13.855,-15.054411764705883,-13.72125,-58.83765410650228
