,Calories 2050,ΔCalories,Population 2050,min_lon,min_lat,max_lon,max_lat,percent_change_in_production
0,14271748948219.525,7092167941098.395,13079.886165306316,-89.355,-14.602083333333335,-89.1866,-14.43,98.78247677773906
0,4391925420834.6274,-2848291762408.8555,16562.0174344782,-89.355,-14.48,-89.1866,-14.307916666666666,-39.33986633717075
0,14128740062919.535,2106061324535.2988,14740.711190408596,-89.23660000000001,-15.090416666666668,-89.06819999999999,-14.918333333333333,17.51740498406047
0,25355276507561.43,994900382732.625,31694.818472890067,-89.23660000000001,-14.968333333333334,-89.06819999999999,-14.796249999999999,4.084092863076094
0,9213645869270.75,-2997062706107.541,12686.462678364265,-89.23660000000001,-14.84625,-89.06819999999999,-14.674166666666666,-24.544543730662994
0,8308777049225.659,-152884132984.9248,7086.957320712141,-89.23660000000001,-14.58,-89.06819999999999,-14.552083333333334,-1.8067862762732867
0,4161494592330.996,-612627274759.8052,10020.96298604272,-89.23660000000001,-14.602083333333335,-89.06819999999999,-14.43,-12.832250449717165
0,1993066367577.901,-2220928915132.22,8622.864831881407,-89.23660000000001,-14.48,-89.06819999999999,-14.307916666666666,-52.703640278018725
0,50131471799747.805,-5112969349162.605,20721.192738240767,-89.1182,-15.08,-88.9498,-15.040416666666667,-9.255174353887806
0,45887078626754.75,-8440393729511.316,20975.47322923608,-89.1182,-15.090416666666668,-88.9498,-14.918333333333333,-15.536142882115534
0,42015695107169.375,-11751449313070.75,41849.58989912438,-89.1182,-14.968333333333334,-88.9498,-14.796249999999999,-21.856190132067034
0,26037396271911.473,-5676458309295.791,17993.456562109182,-89.1182,-14.84625,-88.9498,-14.674166666666666,-17.89898574063432
0,42152547098518.516,-359162943663.64014,31014.662614108882,-89.1182,-14.724166666666667,-88.9498,-14.552083333333334,-0.8448564955567783
0,38881699293536.34,14637788994925.832,19302.200907371793,-89.1182,-14.602083333333335,-88.9498,-14.43,60.37717849403512
0,17517624348203.55,2188601194599.5928,15750.275867070071,-89.1182,-14.48,-88.9498,-14.307916666666666,14.277499437953667
0,98000965399.58755,-649879759452.2388,5871.1231548516635,-89.1182,-14.357916666666666,-88.9498,-14.33,-86.89617713853984
0,42161526502874.54,-8808127737432.678,23984.16267513871,-88.99980000000001,-15.2125,-88.83139999999999,-15.040416666666667,-17.28112122539599
0,25162905663360.33,-8022888254508.353,12404.620315967351,-88.99980000000001,-15.090416666666668,-88.83139999999999,-14.918333333333333,-24.17567069320128
0,36897262641590.73,-20444857726542.656,22940.367932381712,-88.99980000000001,-14.968333333333334,-88.83139999999999,-14.796249999999999,-35.654171131600556
0,25030154377800.47,-2698287690644.5664,17366.646260879468,-88.99980000000001,-14.84625,-88.83139999999999,-14.674166666666666,-9.731118986000364
0,21556952050327.043,-9165574587757.264,25267.567880564384,-88.99980000000001,-14.724166666666667,-88.83139999999999,-14.552083333333334,-29.83340106017003
0,13911727048411.64,1940438169141.414,10806.920867300974,-88.99980000000001,-14.602083333333335,-88.83139999999999,-14.43,16.209099861431998
0,1548298571923.595,-514581532835.5371,7983.607233889683,-88.99980000000001,-14.48,-88.83139999999999,-14.307916666666666,-24.944810493270097
0,5002396342746.164,-5119754166774.986,12547.319682417523,-88.99980000000001,-14.357916666666666,-88.83139999999999,-14.185833333333333,-50.57970795790101
0,32570467865068.31,1725644969596.752,23910.81253350545,-88.8814,-15.334583333333333,-88.713,-15.1625,5.594601646586539
0,76342378480647.6,-33990576523254.312,69030.92965684757,-88.8814,-15.2125,-88.713,-15.040416666666667,-30.807274691457543
0,45727457336214.28,-23866239612690.12,27386.72015429633,-88.8814,-15.090416666666668,-88.713,-14.918333333333333,-34.29367982881077
