,Calories 2050,ΔCalories,Population 2050,min_lon,min_lat,max_lon,max_lat,percent_change_in_production
0,4269342372003.7197,4269342372003.7197,72.0165026944779,-16.854999999999997,-22.148777777777774,-16.63467391304348,-22.0,inf
0,7666074711254.994,7666074711254.994,168.03850628711507,-16.854999999999997,-21.67,-16.63467391304348,-21.465,inf
0,40643545721.36733,40643545721.36733,24.005500898159298,-16.5,-22.17,-16.464347826086957,-22.098777777777777,inf
0,1388694017884.9521,1388694017884.9521,72.0165026944779,-16.684673913043476,-22.148777777777774,-16.464347826086957,-22.0,inf
0,2072272160662.8574,2072272160662.8574,72.0165026944779,-16.684673913043476,-21.67,-16.464347826086957,-21.465,inf
0,149778055868.67233,149778055868.67233,95.13291096677945,-16.33,-22.5,-16.294021739130436,-22.415666666666667,inf
0,1534192451287.8906,1534192451287.8906,24.005500898159298,-16.33,-21.83,-16.294021739130436,-21.781888888888886,inf
0,4894682537078.583,4894682537078.583,96.02200359263719,-16.514347826086954,-21.831888888888884,-16.294021739130436,-21.465,inf
0,858176520316.1326,858176520316.1326,191.15491455941662,-16.344021739130433,-22.58,-16.25,-22.415666666666667,inf
0,2195949198468.2087,2195949198468.2087,73.35014163326453,-16.344021739130433,-22.0,-16.25,-21.781888888888886,inf
0,3653588568973.3936,3653588568973.3936,48.011001796318595,-16.344021739130433,-21.831888888888884,-16.25,-21.465,inf
0,1834215854548.994,1834215854548.994,359.1934208465317,-16.17369565217391,-23.41633333333333,-15.95336956521739,-23.049444444444443,inf
0,109869360301.66748,109869360301.66748,51.12282598682073,-16.0,-22.17,-15.95336956521739,-22.098777777777777,inf
0,4053952622320.624,4053952622320.624,147.14482957945793,-16.17369565217391,-22.148777777777774,-15.95336956521739,-22.0,inf
0,1682141025762.3816,1682141025762.3816,50.67827967389186,-15.83,-23.75,-15.783043478260868,-23.68322222222222,inf
0,2260023446336.7603,2260023446336.7603,283.17600133569397,-16.00336956521739,-23.733222222222217,-15.783043478260868,-23.366333333333333,inf
0,1438419065503.7776,1438419065503.7776,96.02200359263719,-16.00336956521739,-23.41633333333333,-15.92,-23.33,inf
0,358923109963.60345,358923109963.60345,96.02200359263719,-15.83,-22.83,-15.783043478260868,-22.732555555555557,inf
0,390488870488.99316,390488870488.99316,192.04400718527438,-15.83,-22.782555555555554,-15.783043478260868,-22.67,inf
