,Calories 2050,ΔCalories,Population 2050,min_lon,min_lat,max_lon,max_lat,percent_change_in_production
0,10968848224785.547,10968848224785.547,1356.2314098095535,-17.0,-21.25,-16.851557377049183,-21.17,inf
0,12952954760790.78,-3717679917165.035,26561.865506968217,-16.92,-15.17,-16.851557377049183,-15.068076923076925,-22.30077012053451
0,381704245637148.5,-28726016875163.16,2181616.242816098,-17.275,-15.118076923076925,-16.851557377049183,-14.42,-6.99900068268029
0,222002819111508.0,-58375693040670.51,398764.92898559046,-16.90155737704918,-15.67,-16.47811475409836,-15.068076923076925,-20.820316290496066
0,671338494941027.1,-175809174281678.47,1887114.4372764765,-16.90155737704918,-15.118076923076925,-16.47811475409836,-14.276758241758243,-20.75307300827387
0,17262395737164.33,-6999806699227.83,95943.92618782845,-16.90155737704918,-14.326758241758244,-16.47811475409836,-13.83,-28.85066480497438
0,240528081652689.9,-120124612361603.28,657583.7571539758,-16.75,-13.535439560439565,-16.47811475409836,-12.694120879120883,-33.30755997537137
0,31910541037409.65,-24803705008363.72,72272.77613742904,-16.67,-12.58,-16.47811475409836,-12.42,-43.73452304795686
0,127931710584.39615,127931710584.39615,213.3697399897036,-16.528114754098358,-20.75,-16.5,-20.75,inf
0,3509813480594.4224,-654941939140.9994,27619.379280792193,-16.33,-17.25,-16.10467213114754,-16.65071428571429,-15.725819961418209
0,318191615069421.0,-216281370716297.84,747367.9656604764,-16.528114754098358,-16.700714285714287,-16.10467213114754,-15.859395604395607,-40.466286691430554
0,668537219562836.2,29003316587332.89,1112724.0830868874,-16.528114754098358,-15.909395604395607,-16.10467213114754,-15.068076923076925,4.53507100286501
0,758138469394109.2,-354308962467515.8,2732464.0101416833,-16.528114754098358,-15.118076923076925,-16.10467213114754,-14.276758241758243,-31.849501587198368
0,656812241951010.5,-497893823993909.5,1339537.8947771087,-16.528114754098358,-14.326758241758244,-16.10467213114754,-13.485439560439564,-43.11866358703785
0,680539106716222.4,-152323205833595.34,720168.6580552888,-16.528114754098358,-13.535439560439565,-16.10467213114754,-12.694120879120883,-18.289122168015513
0,259066898342134.66,-24871735871161.957,671258.5348858576,-16.528114754098358,-12.744120879120883,-16.10467213114754,-11.9028021978022,-8.759546209720149
0,6441078056486.967,6441078056486.967,918.823442830661,-16.15467213114754,-23.822582417582417,-15.731229508196721,-23.17,inf
0,177788070952183.5,177788070952183.5,209982.05084707536,-16.15467213114754,-18.0,-15.731229508196721,-17.442032967032972,inf
0,246982266842779.72,235683236766289.62,53678.047817618026,-16.15467213114754,-17.49203296703297,-15.731229508196721,-16.65071428571429,2085.87139932193
0,531247466829228.4,43204384015777.75,276552.5206832796,-16.15467213114754,-16.700714285714287,-15.731229508196721,-15.859395604395607,8.85257583546004
0,381112955810585.75,51275751276033.1,475056.6130797839,-16.15467213114754,-15.909395604395607,-15.731229508196721,-15.068076923076925,15.545775482905434
0,596958612885275.5,-218555435631901.5,1772128.1508351504,-16.15467213114754,-15.118076923076925,-15.731229508196721,-14.276758241758243,-26.799714367801986
0,624641301146429.4,-464684987155559.8,1119851.521443127,-16.15467213114754,-14.326758241758244,-15.731229508196721,-13.485439560439564,-42.65801644059262
0,486356024861988.4,-86268729518922.78,508318.7329427204,-16.15467213114754,-13.535439560439565,-15.731229508196721,-12.694120879120883,-15.06549077016266
0,324452438148482.1,14525613270840.338,716992.1160511923,-16.15467213114754,-12.744120879120883,-15.731229508196721,-11.9028021978022,4.68678801087159
0,16713394481279.805,8123107174640.838,22554.07055749496,-16.15467213114754,-11.952802197802201,-15.92,-11.92,94.56153076932515
0,393962442563.6484,393962442563.6484,178.69715724137674,-15.781229508196722,-23.92,-15.75,-23.77258241758242,inf
0,318777360390034.3,318777360390034.3,30730.13228172541,-15.781229508196722,-18.0,-15.3577868852459,-17.442032967032972,inf
0,387082979027251.56,360482452286505.75,94303.6463116576,-15.781229508196722,-17.49203296703297,-15.3577868852459,-16.65071428571429,1355.1703535792417
0,549913321846074.44,250352581145287.2,297242.27313761454,-15.781229508196722,-16.700714285714287,-15.3577868852459,-15.859395604395607,83.57322810713335
0,205475545972997.44,80320961294874.83,240853.54058154396,-15.781229508196722,-15.909395604395607,-15.3577868852459,-15.068076923076925,64.1774022912923
0,738134433745030.5,-329285900592673.1,657880.252188503,-15.781229508196722,-15.118076923076925,-15.3577868852459,-14.276758241758243,-30.8487565769471
0,845694152284700.4,-585914633991583.6,995547.2006483336,-15.781229508196722,-14.326758241758244,-15.3577868852459,-13.485439560439564,-40.927007406512864
0,509603633740306.56,-84546068844209.48,590457.1924329234,-15.781229508196722,-13.535439560439565,-15.3577868852459,-12.694120879120883,-14.229758674697479
0,557751491283570.3,102156057073087.08,645159.415002492,-15.781229508196722,-12.744120879120883,-15.3577868852459,-11.9028021978022,22.42253749757539
0,122463759740372.8,43092776120486.125,128551.71218146326,-15.781229508196722,-11.952802197802201,-15.3577868852459,-11.42,54.29285887001289
0,214165291451866.94,214165291451866.94,11350.38112686894,-15.407786885245901,-18.0,-14.984344262295082,-17.442032967032972,inf
0,240943168053436.8,228860534993412.56,77231.84451102308,-15.407786885245901,-17.49203296703297,-14.984344262295082,-16.65071428571429,1894.1279922718536
0,395885312393300.06,296686635631664.6,119930.24112500428,-15.407786885245901,-16.700714285714287,-14.984344262295082,-15.859395604395607,299.08325929041683
0,154338439607472.0,31399811355033.06,92350.86867046017,-15.407786885245901,-15.909395604395607,-14.984344262295082,-15.068076923076925,25.54104580584511
0,441644382731915.94,-162171253151724.16,254563.87993675735,-15.407786885245901,-15.118076923076925,-14.984344262295082,-14.276758241758243,-26.857743243829447
0,644238674530535.4,-471756350334248.25,478668.3404494012,-15.407786885245901,-14.326758241758244,-14.984344262295082,-13.485439560439564,-42.27226285273156
0,398404730926473.0,-30622055976178.188,531276.872445321,-15.407786885245901,-13.535439560439565,-14.984344262295082,-12.694120879120883,-7.137562714266254
0,281443862433617.66,81482534485812.47,193465.0103704141,-15.407786885245901,-12.744120879120883,-14.984344262295082,-11.9028021978022,40.74914650850958
0,333337159442931.2,124657378471433.86,128846.42913482404,-15.407786885245901,-11.952802197802201,-14.984344262295082,-11.111483516483519,59.73620342665602
0,11135466080219.37,5669719914069.063,3152.5379083478692,-15.08,-11.16148351648352,-14.984344262295082,-11.08,103.7318554817269
0,195386199429.57507,195386199429.57507,112.01911349459438,-14.83,-19.5,-14.83,-19.25,inf
0,255463029525980.1,255463029525980.1,12579.035212976316,-15.034344262295082,-18.08,-14.610901639344261,-17.442032967032972,inf
0,279839079290176.84,258300341422138.7,110493.51985366801,-15.034344262295082,-17.49203296703297,-14.610901639344261,-16.65071428571429,1199.2361994684782
0,260925671488967.44,178708659501159.03,203753.43252054264,-15.034344262295082,-16.700714285714287,-14.610901639344261,-15.859395604395607,217.36214340611033
0,123169948203207.98,23241406148917.895,120672.14549176014,-15.034344262295082,-15.909395604395607,-14.610901639344261,-15.068076923076925,23.25802585640755
