,Calories 2050,ΔCalories,Population 2050,min_lon,min_lat,max_lon,max_lat,percent_change_in_production
0,8527588421190.147,8527588421190.147,2107.0261823983233,19.305,-42.17,19.414999999999996,-42.13785714285714,inf
0,154414547233.7342,154414547233.7342,2106.5816621066774,19.305,-42.18785714285714,19.414999999999996,-42.08,inf
0,74506054027597.47,23205191066926.383,8725.488804703939,19.365,-42.25,19.474999999999998,-42.13785714285714,45.23352966735907
0,21700414297806.02,-8311818294953.027,3712.188955529197,19.365,-42.0,19.474999999999998,-41.92928571428572,-27.694768355748355
0,40242956082857.08,-12268295646384.57,3976.678529058101,19.365,-41.979285714285716,19.474999999999998,-41.92,-23.363175019407876
0,46150577331808.445,-9102375513188.602,22159.78105880565,19.365,-40.93642857142857,19.474999999999998,-40.67785714285714,-16.47400735074521
0,76289366892206.33,-34300698721401.18,25404.334667524083,19.365,-40.72785714285714,19.474999999999998,-40.46928571428572,-31.016075929681573
0,69636753710567.64,12457088212067.154,16769.972522607408,19.425,-42.396428571428565,19.534999999999997,-42.13785714285714,21.78587108452714
0,60347994272127.5,-26319072535021.12,13967.272083784324,19.425,-42.18785714285714,19.534999999999997,-41.92928571428572,-30.368020408012963
0,40164381856211.97,-16402208086452.705,6892.287121959071,19.425,-41.979285714285716,19.534999999999997,-41.92,-28.99628226321901
0,69043517113789.39,-33872462043888.69,40670.49504349573,19.425,-41.42,19.534999999999997,-41.30357142857143,-32.91273359212035
0,61899329042383.21,-27752180091211.543,48488.71793295178,19.425,-41.35357142857143,19.534999999999997,-41.095000000000006,-30.955619553326706
0,87745127753828.48,-79499766823623.44,54178.57766601055,19.425,-41.145,19.534999999999997,-40.886428571428574,-47.534943906348495
0,50326406562576.66,-68880241117464.56,32140.595167115687,19.425,-40.93642857142857,19.534999999999997,-40.67785714285714,-57.78221471536036
0,103166610428432.28,-47954512662167.34,43960.38972196196,19.425,-40.72785714285714,19.534999999999997,-40.46928571428572,-31.73250150703143
0,52595194516393.68,-32254374471553.863,14711.843572290061,19.425,-40.519285714285715,19.534999999999997,-40.26071428571429,-38.01359848526212
0,20439171673010.68,-18042860388698.773,5371.1386839491415,19.425,-40.31071428571429,19.534999999999997,-40.25,-46.886454332155324
0,12128837090843.0,3017909026076.688,8941.525666443515,19.545,-42.605,19.654999999999998,-42.34642857142857,33.12405722691978
0,23385217375263.773,-12302562823331.316,16800.644422730933,19.545,-42.396428571428565,19.654999999999998,-42.13785714285714,-34.47276001721068
0,19907182752425.453,-12934880672262.275,13984.163854866843,19.545,-42.18785714285714,19.654999999999998,-41.92928571428572,-39.38510350278109
0,99642418417112.0,-53329949433306.02,21786.828534115317,19.545,-41.979285714285716,19.654999999999998,-41.72071428571429,-34.86247234236055
0,26338525250776.266,-24900011317423.89,7584.849736342317,19.545,-41.770714285714284,19.654999999999998,-41.67,-48.59625778788816
0,75172696706361.06,-61606505861555.64,69887.48025246082,19.545,-41.56214285714285,19.654999999999998,-41.30357142857143,-45.04084298266425
0,34461772206284.17,-58820401229479.516,61341.13312528991,19.545,-41.35357142857143,19.654999999999998,-41.095000000000006,-63.05642231844506
0,111719873468916.11,-76815878257477.0,63057.42597133208,19.545,-41.145,19.654999999999998,-40.886428571428574,-40.74340147907532
0,81326706583834.39,-48728239940976.82,35758.99034110774,19.545,-40.93642857142857,19.654999999999998,-40.67785714285714,-37.467425302182335
0,82805981861587.73,-76546483294695.67,48762.986952896885,19.545,-40.72785714285714,19.654999999999998,-40.46928571428572,-48.03595803781475
0,67609020805650.73,-20511642577772.133,16711.74036440189,19.545,-40.519285714285715,19.654999999999998,-40.26071428571429,-23.276768229176493
0,18947043133632.48,-12434433334755.102,6429.541498356402,19.545,-40.31071428571429,19.654999999999998,-40.25,-39.623480900527554
0,5526087773511.694,-395284788316.8135,9499.843152749907,19.605,-42.605,19.714999999999996,-42.34642857142857,-6.6755601710484225
0,15021020714909.338,-15525583351498.156,15291.498032595424,19.605,-42.396428571428565,19.714999999999996,-42.13785714285714,-50.82588990169236
0,19861041538061.523,-12147947866875.277,11616.204261272778,19.605,-42.18785714285714,19.714999999999996,-41.92928571428572,-37.95167574082073
0,17489655888790.883,-29098300880351.65,25945.31586245631,19.605,-41.979285714285716,19.714999999999996,-41.72071428571429,-62.45884751834592
0,39493512890447.664,-29561795920335.652,26211.13899686015,19.605,-41.770714285714284,19.714999999999996,-41.512142857142855,-42.808867890718105
0,107297198838068.9,-39903373591885.99,77312.74720410252,19.605,-41.56214285714285,19.714999999999996,-41.30357142857143,-27.108164685211356
0,22205825087943.016,-50275752007566.35,67995.60189121879,19.605,-41.35357142857143,19.714999999999996,-41.095000000000006,-69.36349072719227
0,93093674437393.3,-66411858461462.03,61807.87943151738,19.605,-41.145,19.714999999999996,-40.886428571428574,-41.63608450095252
0,79529614169681.67,-50319421773367.84,35793.66292385606,19.605,-40.93642857142857,19.714999999999996,-40.67785714285714,-38.75224903128078
0,93801801807983.64,-64680123111437.28,49592.9063373985,19.605,-40.72785714285714,19.714999999999996,-40.46928571428572,-40.81230281896403
0,63278183621502.305,-18210070773763.29,16733.077338400857,19.605,-40.519285714285715,19.714999999999996,-40.26071428571429,-22.346865703410234
0,50335962709884.5,-16432838163692.371,12420.341468858975,19.605,-40.31071428571429,19.714999999999996,-40.05214285714286,-24.611552025334504
0,5319348073803.705,-307251672075.64465,6041.919804041773,19.725,-42.605,19.834999999999997,-42.34642857142857,-5.460698929236274
0,16389451379341.637,-20829779561863.375,13168.469119697873,19.725,-42.396428571428565,19.834999999999997,-42.13785714285714,-55.96509931859701
0,21657893865413.58,-5398571178576.006,8562.79437796179,19.725,-42.18785714285714,19.834999999999997,-41.92928571428572,-19.952980442192924
0,18899065959794.145,-22416697114628.816,18995.24110258336,19.725,-41.979285714285716,19.834999999999997,-41.72071428571429,-54.25700857624036
0,6531290544600.254,-3944795094446.4297,18273.34014895153,19.725,-41.770714285714284,19.834999999999997,-41.512142857142855,-37.655239087997785
0,48303806416846.65,-39335187508102.88,72234.10287205593,19.725,-41.56214285714285,19.834999999999997,-41.30357142857143,-44.883202951631255
0,40881191862612.55,-27011690723722.793,73530.76856278502,19.725,-41.35357142857143,19.834999999999997,-41.095000000000006,-39.785747334227025
0,96495185259328.22,-51865867118770.89,55126.739448089786,19.725,-41.145,19.834999999999997,-40.886428571428574,-34.95922028551698
0,83624969016515.67,-30902367993415.305,31436.030504858016,19.725,-40.93642857142857,19.834999999999997,-40.67785714285714,-26.982525570061643
0,112697343142698.6,-44074179814276.39,47142.26596955842,19.725,-40.72785714285714,19.834999999999997,-40.46928571428572,-28.113638869459923
