,Calories 2050,ΔCalories,Population 2050,min_lon,min_lat,max_lon,max_lat,percent_change_in_production
0,38811170063839.92,38417935536973.14,8001.365249613884,14.475,-6.25,14.724375,-6.067258064516128,9769.725929988912
0,19784532580314.56,18038017578823.74,7133.661640322423,14.475,-6.117258064516129,14.724375,-5.7901612903225805,1032.8006094093973
0,27906181356.939568,27906181356.939568,1911.4372540744282,14.67,-4.83,14.724375,-4.83,inf
0,25367513509.93251,-270798578108.3322,2022.1228066940866,14.67,-4.731774193548388,14.724375,-4.67,-91.43470024832239
0,15742340663955.678,15742340663955.678,5465.821506069573,14.83,-6.5,14.92375,-6.344354838709677,inf
0,51767090672288.72,51767090672288.72,9735.43890732187,14.674375,-6.394354838709678,14.92375,-6.067258064516128,inf
0,23972806508651.246,23972806508651.246,5373.805805699014,14.674375,-6.117258064516129,14.92375,-6.0,inf
0,1405760787632.555,-360003980216.1621,7970.693349490364,14.674375,-4.731774193548388,14.92375,-4.404677419354838,-20.387992034452328
0,466448743679.849,-471741404515.5099,2088.800850440869,14.83,-4.454677419354839,14.92375,-4.42,-50.282067598228444
0,9265035248927.773,9082712603323.805,2483.090349130176,15.08,-7.0,15.123125,-6.898548387096774,4981.670035138024
0,51815546908886.65,49276613710386.47,24106.779936211693,14.87375,-6.948548387096775,15.123125,-6.6214516129032255,1940.8393154847702
0,45896833589499.04,45494839679332.17,34198.27959714138,14.87375,-6.671451612903226,15.123125,-6.344354838709677,11317.295742228363
0,51998649474326.14,51998649474326.14,22309.58439709009,14.87375,-6.394354838709678,15.123125,-6.067258064516128,inf
0,45658293210295.945,45546640903356.21,14979.444787860482,14.87375,-6.117258064516129,15.123125,-5.7901612903225805,40793.28242446485
0,595037844113.5231,-8406952388.470338,1340.2286793103256,15.08,-5.33,15.123125,-5.235967741935483,-1.3931601427675244
0,240146375848.4187,-28088033474.55485,2680.457358620651,14.87375,-5.285967741935484,15.123125,-4.958870967741936,-10.471450529202919
0,270273336400.81274,270273336400.81274,1349.1190851432302,15.0,-4.75,15.123125,-4.681774193548387,inf
0,1675110044026.0718,1324605836778.4602,5524.498184566741,14.87375,-4.731774193548388,15.123125,-4.404677419354838,377.9143900097896
0,26796173939123.78,11642581939248.277,20329.691018102298,14.87375,-4.454677419354839,15.123125,-4.12758064516129,76.83050948807337
0,20533213143185.375,15643529143290.08,7356.8108267283205,15.0,-4.1775806451612905,15.123125,-3.8504838709677416,319.9292458086261
0,3687560458962.4985,3687560458962.4985,1086.4075927809074,15.08,-3.9004838709677414,15.123125,-3.83,inf
0,17964382678910.45,14428062418208.639,3822.42998785721,15.25,-7.33,15.3225,-7.175645161290323,407.9964865892909
0,26254094310002.984,26254094310002.984,14926.991393446346,15.073125,-7.225645161290323,15.3225,-6.898548387096774,inf
0,64225666791616.62,64225666791616.62,24766.003528721554,15.073125,-6.948548387096775,15.3225,-6.6214516129032255,inf
0,76416924016885.52,72719312603461.1,22709.20813927914,15.073125,-6.671451612903226,15.3225,-6.344354838709677,1966.6564295925969
0,30020241010531.098,29953291145107.914,24541.52078144072,15.073125,-6.394354838709678,15.3225,-6.067258064516128,44739.88253116876
0,39519135301456.11,32219415046963.047,23247.522212461496,15.073125,-6.117258064516129,15.3225,-5.7901612903225805,441.3787641674573
0,343392107219.26874,-482958678423.5762,2345.289058720159,15.073125,-5.840161290322581,15.17,-5.75,-58.4447533438075
0,45185596992.95957,492185987.0397415,1339.3396387270352,15.25,-5.42,15.3225,-5.42,1.101249548785943
0,146170023071.2999,146170023071.2999,5541.38995564926,15.25,-4.58,15.3225,-4.404677419354838,inf
0,16295563352898.178,7453896821044.186,11581.087158232807,15.073125,-4.454677419354839,15.3225,-4.12758064516129,84.304206612972
0,43629319966429.875,40259526250965.29,8544.124525712692,15.073125,-4.1775806451612905,15.3225,-3.8504838709677416,1194.7178269757915
0,8415847522816.798,8415847522816.798,4955.512211260866,15.073125,-3.9004838709677414,15.3225,-3.573387096774194,inf
0,53282604966532.9,42835167168364.43,14270.879442978006,15.272499999999999,-7.502741935483871,15.521875,-7.175645161290323,410.006434073949
0,47376654336635.055,47313076821201.98,18021.741663880337,15.272499999999999,-7.225645161290323,15.521875,-6.898548387096774,74417.93926502814
0,52164462534106.35,52164462534106.35,24142.786079834957,15.272499999999999,-6.948548387096775,15.521875,-6.6214516129032255,inf
0,15940738520874.824,15268262212889.81,15552.87596408281,15.272499999999999,-6.671451612903226,15.521875,-6.344354838709677,2270.4535507933565
0,36645299810922.47,36645299810922.47,22625.193804158193,15.272499999999999,-6.394354838709678,15.521875,-6.067258064516128,inf
0,26052117682421.883,26052117682421.883,16525.041841910897,15.272499999999999,-6.117258064516129,15.521875,-6.0,inf
0,408768494051.0223,185430443877.28036,7288.354701814958,15.272499999999999,-5.840161290322581,15.521875,-5.75,83.0268034188657
0,18897157162.12372,18897157162.12372,1061.06993615713,15.42,-5.33,15.521875,-5.235967741935483,inf
0,16658217990.41933,16658217990.41933,3408.5815963355144,15.42,-4.5,15.521875,-4.404677419354838,inf
0,9761798117692.084,9761798117692.084,15660.894394952596,15.272499999999999,-4.454677419354839,15.521875,-4.12758064516129,inf
0,13727865179858.834,13727865179858.834,10553.800764240714,15.272499999999999,-4.1775806451612905,15.521875,-3.8504838709677416,inf
0,3684816346706.147,3684816346706.147,5246.673002288482,15.272499999999999,-3.9004838709677414,15.521875,-3.573387096774194,inf
0,2381777294488.9746,2381777294488.9746,1834.535243619806,15.272499999999999,-3.6233870967741937,15.521875,-3.2962903225806452,inf
0,64491458107823.87,49580950605665.2,28517.75479020718,15.471874999999999,-7.502741935483871,15.72125,-7.175645161290323,332.5235616459543
0,55683847711196.81,54126013201042.41,24108.558017378276,15.471874999999999,-7.225645161290323,15.72125,-6.898548387096774,3474.43921984227
0,82185491541897.0,80721211816816.62,36082.156593133805,15.471874999999999,-6.948548387096775,15.72125,-6.6214516129032255,5512.690672022096
0,31147621812072.508,30699524077430.863,24057.438183839076,15.471874999999999,-6.671451612903226,15.72125,-6.344354838709677,6851.077723475231
0,77020300271239.03,77020300271239.03,32348.186143314,15.471874999999999,-6.394354838709678,15.72125,-6.067258064516128,inf
0,38090583618019.76,29404932342514.535,39528.52241425917,15.471874999999999,-6.117258064516129,15.72125,-5.7901612903225805,338.5460849141002
0,41562474510.726265,41562474510.726265,3313.009733631793,15.471874999999999,-5.67,15.5,-5.67,inf
0,66996430757.8566,-1139618581361.5388,1690.5106691267558,15.471874999999999,-5.563064516129033,15.58,-5.42,-94.44757191938308
0,22052123998.961025,-1006179573336.7484,925.4912472053392,15.67,-5.285967741935484,15.72125,-5.25,-97.85533512961125
0,151231227323.89966,-43352080956.411736,3734.8594904031033,15.471874999999999,-4.83,15.72125,-4.83,-22.279444901800062
0,315164620403.1264,139954919347.31012,3408.5815963355144,15.67,-4.5,15.72125,-4.404677419354838,79.87852185349308
0,6287403864215.615,-1249789273792.313,16698.849275944176,15.471874999999999,-4.25,15.72125,-4.12758064516129,-16.581627283636657
0,12740112569029.846,8824918714646.135,18582.281751644954,15.471874999999999,-4.1775806451612905,15.72125,-3.8504838709677416,225.40183303478497
0,8105559388246.12,8105559388246.12,7921.796117409391,15.471874999999999,-3.9004838709677414,15.72125,-3.75,inf
0,3078928739147.0527,3078928739147.0527,4735.919187188129,15.471874999999999,-3.42,15.72125,-3.2962903225806452,inf
0,29560875545320.92,27874383445833.34,22512.285650080306,15.671249999999999,-7.502741935483871,15.920625000000001,-7.175645161290323,1652.8024918884942
0,36392453187592.555,36392453187592.555,18089.753268502056,15.671249999999999,-7.225645161290323,15.920625000000001,-6.898548387096774,inf
