,Calories 2050,ΔCalories,Population 2050,min_lon,min_lat,max_lon,max_lat,percent_change_in_production
0,10412648770538.305,-6098427709672.536,10720.940393899313,-87.605,-13.0725,-87.46806122448979,-12.845,-36.93537315378398
0,139897255288.4247,-381640500793.85535,5424.481118946568,-87.5180612244898,-12.92,-87.38112244897958,-12.845,-73.1760062129895
0,1158522781407.275,-4638266779180.631,7974.694032115171,-87.5180612244898,-12.895000000000001,-87.38112244897958,-12.83,-80.01440677984904
0,1028126968443.4388,448640668806.9055,5786.765156637421,-87.4311224489796,-12.92,-87.29418367346938,-12.845,77.4204099541789
0,30654669104894.715,-6282849581098.502,20335.025261602044,-87.4311224489796,-12.895000000000001,-87.29418367346938,-12.667499999999999,-17.009398044598413
0,700153496971.286,-922408313084.1708,5435.594126237697,-87.34418367346939,-12.92,-87.20724489795917,-12.845,-56.84888596340403
0,46869722533878.17,-11692550080533.969,23433.776214660837,-87.34418367346939,-12.895000000000001,-87.20724489795917,-12.667499999999999,-19.966011492621682
0,31238257926337.715,-5015538764290.668,14859.424309116272,-87.34418367346939,-12.7175,-87.20724489795917,-12.67,-13.834520028593822
0,8201021187893.543,-1068084378471.5626,12070.948519625834,-87.25724489795918,-13.0725,-87.12030612244897,-12.845,-11.523057654530666
0,46362529511637.53,-23331100399217.47,31223.105285159952,-87.25724489795918,-12.895000000000001,-87.12030612244897,-12.667499999999999,-33.47666125162405
0,66287382785549.8,-13888851291198.152,50351.70247523689,-87.25724489795918,-12.7175,-87.12030612244897,-12.49,-17.322903041196945
0,47474563619280.05,-14459394888435.691,16638.839036572073,-87.17030612244898,-13.0725,-87.03336734693876,-12.845,-23.346472979979694
0,28863459358947.863,-8933506214507.559,37179.23267291419,-87.17030612244898,-12.895000000000001,-87.03336734693876,-12.667499999999999,-23.635511684518672
0,65178210574378.3,-15928745023341.004,64112.272623406185,-87.17030612244898,-12.7175,-87.03336734693876,-12.49,-19.63918495763255
0,37131510440299.04,10953856681398.5,32767.36877833544,-87.17030612244898,-12.540000000000001,-87.03336734693876,-12.5,41.844302710567135
0,40194961897663.34,-19135717871611.484,16809.534828563832,-87.08336734693877,-13.0725,-86.94642857142857,-12.845,-32.25265233101402
0,29180094391446.18,-9602201172112.186,32953.17826024314,-87.08336734693877,-12.895000000000001,-86.94642857142857,-12.667499999999999,-24.75923880363301
0,56367880396985.984,-19637082576560.996,47832.605982483445,-87.08336734693877,-12.7175,-86.94642857142857,-12.49,-25.836579360476176
0,39909422143318.46,10423997823995.273,32307.734796774283,-87.08336734693877,-12.540000000000001,-86.94642857142857,-12.5,35.35305346500961
