,%cropland,%cropland 2000,Calories,Calories 2000,Change_in_Production,Change_in_Yield,calories_per_ha,calories_per_ha 2000,ha_per_cell_5m,lat,lon,max_lat,max_lon,min_lat,min_lon,population,precip,temp_avg
0,0.0,0.0,51698603.0,4.0,51698599.41888782,13329050.615087545,13329052.0,1.0,3727.3738,-64.33,-160.916667,-64.26071428571427,-160.82606382978722,-64.33,-160.916667,1.0,410.0,0.0
0,0.0,0.0,182239281.0,12.0,182239268.96851093,15614538.755144335,15614540.0,1.0,3738.6511,-64.25,-160.916667,-64.25,-160.82606382978722,-64.31071428571428,-160.916667,1.0,418.0,-5.0
0,0.0,0.0,946052476.0,55.0,946052421.7047738,54818899.59719335,18272967.333333332,1.0,11182.1214,-64.33,-160.75,-64.26071428571427,-160.666667,-64.33,-160.87606382978723,3.0,415.0,-8.666666666666666
0,0.0,0.0,57844151.0,4.0,57844147.34804039,14868524.533211134,14868526.0,1.0,3738.6511,-64.25,-160.833333,-64.25,-160.833333,-64.31071428571428,-160.87606382978723,1.0,413.0,-4.0
0,0.0,0.0,1157230982.0,839.0,1157230143.1931367,11473235.760145709,1434155.5,1.0,38195.890400000004,-56.25,-160.083333,-56.17,-159.833333,-56.59642857142857,-160.416667,58.0,750.625,54.75
0,0.0,0.0,4373140764.0,11769018820.0,-7395878056.105167,-3486898.752192256,1339559.6666666667,1920709.3333333333,47840.78700000001,-22.08,-159.583333,-22.0,-159.54946808510638,-22.17,-159.75,19377.0,2192.0,203.33333333333334
0,0.0,0.0,146255201.0,113.0,146255088.87716118,6125581.62176151,1225117.4,1.0,23570.749899999995,-56.67,-159.166667,-56.54642857142857,-158.27287234042552,-57.25,-159.333333,11.0,593.2,54.4
0,0.0,0.0,29163396500.0,55093565525.0,-25930169023.897644,-7688318.319464957,3840406.75,5762486.0,31896.995000000006,-22.08,-159.416667,-22.0,-159.416667,-22.17,-159.5994680851064,34866.00000000001,2519.5,233.5
0,0.0,0.0,19080559.0,19.0,19080539.926614795,2097071.0103695686,1048536.5,1.0,9109.9006,-58.0,-157.083333,-58.0,-156.99627659574466,-58.08,-157.583333,2.0,581.0,48.5
0,0.0,0.0,134210643.0,93.0,134210551.94969971,7739017.649516897,1547804.6,1.0,23245.160299999996,-57.42,-157.5,-56.92,-157.5,-57.58,-157.916667,5.0,578.4,51.8
