,Calories 2050,ΔCalories,Population 2050,min_lon,min_lat,max_lon,max_lat,percent_change_in_production
0,47939139133989.945,-40016537614528.664,28043.50903491041,125.05499999999999,8.715,125.239,8.885,-45.496253446998395
0,55874823348108.2,-32593748916144.133,25732.223489777974,125.05499999999999,8.834999999999999,125.239,9.005,-36.842178054810034
0,173144063398047.66,-36028515883852.64,48290.26371503477,125.05499999999999,8.955,125.239,9.125,-17.224301582712375
0,91445530006690.69,-13529586756985.031,26161.227250319,125.05499999999999,9.075,125.239,9.245000000000001,-12.888375049339917
0,55521305118333.95,-65079368690078.94,47215.75377801128,125.05499999999999,9.195,125.239,9.365,-53.962690783522895
0,91689361516549.4,-55211094810007.52,76748.55047904857,125.189,8.715,125.373,8.885,-37.58401858689554
0,56863510178506.08,-29111467469702.055,29261.612976757475,125.189,8.834999999999999,125.373,9.005,-33.86039550812118
0,142327066489329.34,-46416805124620.516,46992.582909833465,125.189,8.955,125.373,9.125,-24.592483309635526
0,53122217897361.55,-29218327682181.766,31247.478052754126,125.189,9.075,125.373,9.245000000000001,-35.484738990411515
0,50348321906878.36,-34085176842515.19,35505.50708742973,125.189,9.195,125.373,9.365,-40.36925787439314
0,28289050262640.05,-1971416303953.9568,18408.04011681069,125.323,8.594999999999999,125.507,8.765,-6.514824547121489
0,56944299361084.266,-28354926587415.246,59195.40593894296,125.323,8.715,125.507,8.885,-33.24171617282307
0,14878422014183.244,-23555535926751.33,20446.363683733605,125.323,8.834999999999999,125.507,9.005,-61.28834288404943
0,15166910150900.043,-67201595702069.43,23421.827071610387,125.323,8.955,125.507,9.125,-81.58651781547005
0,37956090673032.78,-12802527763637.18,14567.900755615468,125.323,9.075,125.507,9.245000000000001,-25.222372392996707
0,66530866477533.125,-8197950740583.508,24863.991008600125,125.457,8.594999999999999,125.641,8.765,-10.970266954253438
0,126274755575792.4,-64424938377683.08,83912.2464348601,125.457,8.715,125.641,8.885,-33.7834513742852
0,60437207720017.734,-33560652744834.93,37605.62497840985,125.457,8.834999999999999,125.641,9.005,-35.70363471983897
0,91545864120567.23,-69721781874177.28,45156.091163931924,125.457,8.955,125.641,9.125,-43.23358318037916
0,76123838192639.22,-24797496549885.883,19575.019258178774,125.457,9.075,125.641,9.245000000000001,-24.57111433687469
0,16297599046840.664,-25071297598780.75,15294.317485899443,125.591,8.594999999999999,125.775,8.765,-60.604221121847004
0,35731184262676.21,-58186728206930.766,16791.162731227567,125.591,8.715,125.775,8.885,-61.95487812376656
0,12426068067880.047,-20698718418692.03,7730.9589593870105,125.591,8.834999999999999,125.775,9.005,-62.48709988540681
0,38318728847098.91,-49088492382432.83,17840.33254975277,125.591,8.955,125.775,9.125,-56.16068294120258
0,30860618884013.55,-13614125256636.586,7674.499397118917,125.591,9.075,125.775,9.245000000000001,-30.610913046699718
0,33602620417125.64,1457425221445.5078,60390.8371431863,125.725,8.475,125.909,8.645,4.53388200809981
0,47349906196277.68,-26984511802288.79,72980.43040200636,125.725,8.594999999999999,125.909,8.765,-36.30150410649503
0,65667394162565.68,-82088272574108.19,27925.699712067537,125.725,8.715,125.909,8.885,-55.55676772817362
0,25088732887071.914,-34544907785315.215,15184.954869222664,125.725,8.834999999999999,125.909,9.005,-57.92855743136097
0,112493402857753.97,-70444994159208.44,36501.329288063826,125.725,8.955,125.909,9.125,-38.50749504089983
0,58733081225482.23,-5742475686583.0,71839.6805061014,125.859,8.475,126.043,8.645,-8.90643828701605
0,69315892385079.72,-588333675896.6953,47535.83948535796,125.859,8.594999999999999,126.043,8.765,-0.8416281948154358
0,129148764497527.28,-11247837890443.133,19349.625572588826,125.859,8.715,126.043,8.885,-8.01147442255118
0,55383039708717.25,-28277662521102.34,12588.259568372778,125.859,8.834999999999999,126.043,9.005,-33.80041258011721
0,75061695133614.25,-58558355284464.69,23354.69798576407,125.859,8.955,126.043,9.125,-43.82452715834455
0,31538076421404.23,-3414034879796.6963,5591.274918470986,125.993,8.594999999999999,126.177,8.765,-9.767750080606408
0,24304851602217.953,-34953067067626.145,7942.12661353933,125.993,8.715,126.177,8.885,-58.98463505336291
0,36381728994678.03,1082958657290.8594,4474.08688713461,125.993,8.834999999999999,126.177,9.005,3.067978422307327
0,54914012906423.69,-12153894517556.164,7197.038216993464,126.127,8.475,126.311,8.645,-18.121773862308675
0,39177668049995.14,-28875279826962.344,10047.134702826133,126.127,8.594999999999999,126.311,8.765,-42.43060841268777
0,43429479873727.16,-82859151651101.34,26042.528800511274,126.127,8.715,126.311,8.885,-65.6109347695411
0,69454763339492.44,-1253783099843.2148,10970.048492342372,126.127,8.834999999999999,126.311,9.005,-1.7731705189540259
0,26461857604920.465,-9127467349649.48,6952.083738176772,126.261,8.475,126.44500000000001,8.645,-25.646643653120037
0,30566589490889.69,-3867158463163.813,8783.2407222892,126.261,8.594999999999999,126.44500000000001,8.765,-11.230721872983263
0,60116635334436.64,-6211024238262.441,22113.476742830866,126.261,8.715,126.44500000000001,8.885,-9.36415407731187
0,34501621798111.594,-1056155892347.7578,9226.915077750282,126.261,8.834999999999999,126.44500000000001,9.005,-2.970252813721652
0,52664237215786.16,-18218138511893.29,19835.978022362797,126.395,8.475,126.57900000000001,8.645,-25.701929887176643
0,38213171277468.0,-27210971739538.207,23155.53354563725,126.395,8.594999999999999,126.57900000000001,8.765,-41.59163648878831
0,43102720415566.96,-39330154256926.53,37007.68709454696,126.395,8.715,126.57900000000001,8.885,-47.711734442339385
