,Calories 2050,ΔCalories,Population 2050,min_lon,min_lat,max_lon,max_lat,percent_change_in_production
0,4995666483553.082,4995666483553.082,136.925552587188,46.475,-48.53174418604651,46.58,-48.31116279069768,inf
0,592661563581.41,592661563581.41,151.15158402481794,46.475,-48.361162790697676,46.76197674418604,-48.33,inf
0,725086223322.1997,725086223322.1997,120.03214025500247,46.92,-49.58,46.998953488372095,-49.50523255813954,inf
0,305491741431.9064,305491741431.9064,240.9534074748568,46.92,-49.55523255813954,46.998953488372095,-49.3346511627907,inf
0,102525288956.1722,102525288956.1722,241.39797095728272,46.711976744186046,-49.384651162790696,46.998953488372095,-49.33,inf
0,99244391248.52347,99244391248.52347,98.6930930985576,46.92,-48.87290697674418,46.998953488372095,-48.65232558139535,inf
0,971690460169.8535,971690460169.8535,143.59400482357705,46.711976744186046,-48.70232558139535,46.998953488372095,-48.48174418604651,inf
0,514788645574.0836,514788645574.0836,63.57257798690872,46.92,-48.361162790697676,46.998953488372095,-48.14058139534884,inf
0,11523390193621.275,-838390991239.2637,113.80825150103935,47.17,-49.92,47.23593023255814,-49.84639534883721,-6.782121271213248
0,29678860694120.598,29678860694120.598,357.8736033528777,47.08,-49.89639534883721,47.23593023255814,-49.67581395348837,inf
0,13714212607959.666,9269627605535.092,720.1928415300148,46.9489534883721,-49.72581395348837,47.23593023255814,-49.50523255813954,208.56002529996388
0,949255915792.3477,949255915792.3477,481.9068149497136,46.9489534883721,-49.55523255813954,47.23593023255814,-49.3346511627907,inf
0,3084182463611.7266,3084182463611.7266,492.5763385279361,47.08,-49.384651162790696,47.23593023255814,-49.164069767441866,inf
0,510920183660.5902,510920183660.5902,429.00376054102736,46.9489534883721,-49.21406976744186,47.23593023255814,-48.993488372093026,inf
0,9566406407701.225,9566406407701.225,228.9501934493566,46.9489534883721,-49.04348837209302,47.23593023255814,-48.822906976744186,inf
0,2872884930925.0483,2872884930925.0483,46.679165654723185,47.17,-48.87290697674418,47.23593023255814,-48.83,inf
0,50973275421.24841,50973275421.24841,40.010713418334156,46.9489534883721,-48.70232558139535,47.0,-48.48174418604651,inf
0,544698378052.0687,544698378052.0687,299.6357871550802,46.9489534883721,-48.190581395348836,47.08,-47.970000000000006,inf
0,5470613408788.179,1380387269245.748,123.58864811440996,47.42,-50.25,47.472906976744184,-50.187558139534886,33.748434002237595
0,20877901331102.36,19914937952775.914,357.4290398704518,47.33,-50.23755813953488,47.472906976744184,-50.016976744186046,2068.0888184332107
0,35473486289315.34,22630739797963.668,705.5222466099589,47.18593023255814,-50.06697674418604,47.472906976744184,-49.84639534883721,176.2141751626355
0,14071163767886.553,14071163767886.553,717.0808971530332,47.18593023255814,-49.89639534883721,47.472906976744184,-49.67581395348837,inf
0,1634775968335.9238,1634775968335.9238,600.1607012750123,47.18593023255814,-49.72581395348837,47.472906976744184,-49.50523255813954,inf
0,3475531019400.3496,3475531019400.3496,481.9068149497136,47.18593023255814,-49.55523255813954,47.472906976744184,-49.3346511627907,inf
0,232213510108.91968,232213510108.91968,245.39904229911616,47.18593023255814,-49.384651162790696,47.472906976744184,-49.33,inf
0,505189406036.4535,505189406036.4535,308.08249332117305,47.18593023255814,-49.21406976744186,47.472906976744184,-49.17,inf
0,7974232459718.918,7974232459718.918,257.4022563246164,47.18593023255814,-49.04348837209302,47.472906976744184,-48.822906976744186,inf
0,2961760556221.8325,2961760556221.8325,82.244244248798,47.18593023255814,-48.87290697674418,47.472906976744184,-48.65232558139535,inf
0,15118079638768.23,-5281875411791.793,175.15801207581842,47.58,-50.42,47.58,-50.358139534883726,-25.89160318589424
0,62158625210399.99,41227859751192.766,817.1076806988686,47.42290697674419,-50.40813953488372,47.70988372093023,-50.187558139534886,196.9725370605453
0,50313945409753.25,38442302712627.14,708.1896275045145,47.42290697674419,-50.23755813953488,47.70988372093023,-50.016976744186046,323.81620381763395
