,Calories 2050,ΔCalories,Population 2050,min_lon,min_lat,max_lon,max_lat,percent_change_in_production
0,237470775266.2949,-254013375934.6743,1230.5517193549886,100.145,-20.58,100.29554794520548,-20.50388888888889,-51.68292310422997
0,28541999583119.664,-20331011433824.867,9587.456061997716,100.145,-20.55388888888889,100.29554794520548,-20.267500000000002,-41.59967026949904
0,7735804483722.359,-5770383015937.841,4955.104575119472,100.24554794520547,-20.790277777777778,100.39609589041096,-20.50388888888889,-42.723996065381264
0,10914964294814.84,-13556171797232.008,6081.183876104366,100.24554794520547,-20.42,100.39609589041096,-20.267500000000002,-55.39657720116142
0,3029073443618.1743,-1320738692220.372,1824.0439683936115,100.34609589041095,-20.83,100.49664383561644,-20.74027777777778,-30.363120313603233
0,12962070979907.492,-7668536138731.485,5614.392219557134,100.34609589041095,-20.790277777777778,100.49664383561644,-20.50388888888889,-37.17067604764404
0,5541003142676.814,-4014379910320.3867,7860.771496255384,100.34609589041095,-20.55388888888889,100.49664383561644,-20.267500000000002,-42.01171097019717
0,21400083263167.848,-23037461903202.85,5479.24492089965,100.34609589041095,-20.3175,100.49664383561644,-20.25,-51.84233696292717
0,9672834746001.51,-3698762262461.3066,1940.5196007892066,100.44664383561643,-20.83,100.59719178082193,-20.74027777777778,-27.661335142843292
0,2568116250206.6157,-2715686349145.5186,3775.2330927610406,100.44664383561643,-20.790277777777778,100.59719178082193,-20.50388888888889,-51.39643841877247
0,14970891213381.121,-10551478170587.113,9317.161464682747,100.44664383561643,-20.55388888888889,100.59719178082193,-20.267500000000002,-41.34207922409813
0,39537063720035.195,-28554803429481.395,9477.64888183851,100.44664383561643,-20.3175,100.59719178082193,-20.17,-41.93570337376792
0,6105696114224.688,-1183878738266.4006,10503.701399277568,100.54719178082192,-21.026666666666667,100.69773972602741,-20.74027777777778,-16.240710359971544
0,4693145113673.32,4693145113673.32,11531.087607163907,100.54719178082192,-20.790277777777778,100.69773972602741,-20.50388888888889,inf
0,6295774880917.119,-4220210949407.1724,17141.03419189678,100.54719178082192,-20.55388888888889,100.69773972602741,-20.267500000000002,-40.13138680006219
0,19435153762713.77,-14524029234491.244,21911.20035832706,100.54719178082192,-20.3175,100.69773972602741,-20.031111111111112,-42.769077323463975
0,14721134073596.312,-12305903057874.67,17561.591246271713,100.54719178082192,-20.08111111111111,100.69773972602741,-19.794722222222227,-45.531824291406906
