,Calories 2050,ΔCalories,Population 2050,min_lon,min_lat,max_lon,max_lat,percent_change_in_production
0,3563949973439.2646,2517927898327.195,18664.553246170457,-13.195,-8.92,-13.07375,-8.866052631578947,240.71460423599822
0,30200874950541.29,3480990556640.8,45533.970123993975,-13.195,-8.916052631578948,-13.07375,-8.707631578947368,13.027715634261616
0,19014621470869.184,7812057270493.897,47960.39761107473,-13.123750000000001,-9.074473684210526,-13.0025,-8.866052631578947,69.7345458661348
0,38622705082211.81,7259876828224.656,34147.3656486185,-13.123750000000001,-8.916052631578948,-13.0025,-8.707631578947368,23.148029793204984
0,2346567076240.585,2346567076240.585,12159.25580783175,-13.123750000000001,-8.757631578947368,-13.0025,-8.54921052631579,inf
0,16749043145659.135,3976371084504.965,21357.718822706767,-13.123750000000001,-8.59921052631579,-13.0025,-8.39078947368421,31.131865481760833
0,15778027247610.99,5506739017895.142,200559.03577118905,-13.123750000000001,-8.44078947368421,-13.0025,-8.232368421052632,53.61293437334964
0,17971960068363.58,-104881833143.01953,29303.846507587936,-13.0525,-9.08,-12.93125,-9.024473684210525,-0.5801999802536262
0,34746853920689.74,259519595668.8418,52635.87175574829,-13.0525,-9.074473684210526,-12.93125,-8.866052631578947,0.7525069732065459
0,29118936285900.91,15786959766670.693,34170.927513187075,-13.0525,-8.916052631578948,-12.93125,-8.707631578947368,118.4142482091787
0,6470554988427.157,6470554988427.157,13453.824668656072,-13.0525,-8.757631578947368,-12.93125,-8.54921052631579,inf
0,35161589366902.094,16517761477983.035,111372.04361734525,-13.0525,-8.59921052631579,-12.93125,-8.39078947368421,88.59640614790459
0,11719137230867.12,923559704087.1388,148077.872107325,-13.0525,-8.44078947368421,-12.93125,-8.232368421052632,8.5549819062122
0,44875186890027.99,-3269499341565.8667,54217.62862621976,-12.981250000000001,-9.232894736842105,-12.86,-9.024473684210525,-6.790986913567898
0,21933600638610.7,-1183691708318.3943,22884.349821357435,-12.981250000000001,-9.074473684210526,-12.86,-9.0,-5.1203734873199185
0,31215186511467.727,-3129675881993.5312,34533.24675136421,-12.981250000000001,-8.916052631578948,-12.86,-8.707631578947368,-9.112500862980234
0,28306057528523.5,28306057528523.5,28156.87272292903,-12.981250000000001,-8.757631578947368,-12.86,-8.54921052631579,inf
