,Calories 2050,ΔCalories,Population 2050,min_lon,min_lat,max_lon,max_lat,percent_change_in_production
0,168162507743.5164,168162507743.5164,2032.0996781689491,159.5,8.25,159.58,8.33,inf
0,28423837950036.34,28423837950036.34,92893.31790682883,159.725,9.42,160.16500000000002,9.75,inf
0,19301723810171.293,19301723810171.293,24144.687294034957,160.115,9.5,160.555,9.75,inf
0,1378827566015.4814,1378827566015.4814,3160.4017965659723,160.67,8.42,160.67,8.4675,inf
0,13665303868007.459,13665303868007.459,57480.724587226134,160.67,8.417499999999999,160.94500000000002,9.0,inf
0,602253903616.8265,602253903616.8265,3712.99420522141,160.505,9.83,160.67,9.83,inf
0,3928135174478.167,3928135174478.167,16387.943652667243,160.895,9.0,161.08,9.24,inf
0,47015966895.792915,47015966895.792915,5180.053697226996,161.17,9.33,161.17,9.33,inf
0,283021786018.0522,283021786018.0522,1792.4799611413705,161.5,10.42,161.5,10.42,inf
0,2533509226121.6934,2533509226121.6934,14217.140167981403,161.675,10.58,162.115,10.785,inf
