,Calories 2050,ΔCalories,Population 2050,min_lon,min_lat,max_lon,max_lat,percent_change_in_production
0,8679955001595.988,8679955001595.988,969.5929551709646,-17.025,-21.25,-16.92,-21.135,inf
0,37193749189.6127,37193749189.6127,744.1992695810154,-15.83,-21.42,-15.51735294117647,-21.42,inf
0,27877314348.668682,27877314348.668682,20.005356709167078,-14.58,-21.83,-14.545588235294117,-21.83,inf
0,27603538261.76348,27603538261.76348,20.005356709167078,-14.33,-22.08,-14.33,-22.08,inf
0,81228185131.23305,81228185131.23305,201.38725753894857,-14.595588235294118,-21.83,-14.25,-21.42,inf
0,54675952221.6289,54675952221.6289,176.0471390406703,-13.83,-23.58,-13.573823529411765,-23.5425,inf
0,112634329617.49982,112634329617.49982,284.0760652701725,-13.83,-23.592499999999998,-13.573823529411765,-22.740000000000002,inf
0,144310797736.6219,144310797736.6219,100.02678354583539,-14.109705882352943,-22.79,-13.83,-22.08,inf
0,449152923323.43317,449152923323.43317,200.05356709167077,-14.109705882352943,-21.987499999999997,-13.75,-21.5,inf
0,136432152197.48962,136432152197.48962,440.11784760167575,-13.623823529411766,-23.83,-13.25,-23.5425,inf
0,139794607229.0549,139794607229.0549,305.85967590904335,-13.623823529411766,-23.33,-13.5,-22.740000000000002,inf
0,569217080435.6049,569217080435.6049,280.0749939283391,-13.623823529411766,-22.58,-13.25,-21.9375,inf
0,335312408294.9056,335312408294.9056,200.05356709167077,-13.623823529411766,-21.83,-13.25,-21.5,inf
0,27561472018.416214,27561472018.416214,64.90626843418653,-12.83,-24.5,-12.83,-24.5,inf
0,51805384433.46071,51805384433.46071,176.0471390406703,-12.83,-24.08,-12.83,-23.5425,inf
0,211777906378.00897,211777906378.00897,308.52705680359895,-13.137941176470589,-23.33,-12.75,-23.25,inf
0,110719875312.30518,110719875312.30518,24.006428051000498,-13.137941176470589,-22.17,-13.08,-21.9375,inf
0,149478907971.31253,149478907971.31253,26.673808945556107,-13.137941176470589,-21.83,-13.0,-21.75,inf
0,54510923217.28214,54510923217.28214,131.5907907980768,-12.652058823529412,-24.58,-12.42,-24.58,inf
0,414218437877.3974,414218437877.3974,1301.2373130607123,-12.652058823529412,-24.394999999999996,-12.116176470588234,-23.5425,inf
0,166380398635.5619,166380398635.5619,259.6250737367461,-12.652058823529412,-23.592499999999998,-12.25,-23.33,inf
0,97974157388.94951,97974157388.94951,153.3744014369476,-12.166176470588235,-25.83,-12.08,-25.1475,inf
0,28955486750.52145,28955486750.52145,53.79218137353814,-12.166176470588235,-24.58,-12.08,-24.58,inf
0,27095039210.196842,27095039210.196842,71.13015718814961,-12.166176470588235,-24.394999999999996,-12.08,-24.33,inf
0,188162764405.042,188162764405.042,441.0069745665277,-11.68029411764706,-26.58,-11.144411764705882,-26.08,inf
0,74041698830.6748,74041698830.6748,204.05463843350424,-11.194411764705883,-26.67,-11.0,-26.08,inf
0,25127212097.9192,25127212097.9192,76.02035549483492,-10.58,-26.92,-10.58,-26.92,inf
0,133190663020.99896,133190663020.99896,380.1017774741746,-10.58,-26.5,-10.33,-26.25,inf
0,29222806475.313686,29222806475.313686,76.02035549483492,-9.83,-26.83,-9.83,-26.7525,inf
0,83251990753.08975,83251990753.08975,228.06106648450475,-9.75,-26.5,-9.686764705882354,-26.25,inf
0,126560534866.76938,126560534866.76938,304.08142197933967,-9.42,-27.08,-9.200882352941177,-26.7525,inf
0,238167367198.6625,238167367198.6625,684.1831994535142,-9.736764705882354,-26.8025,-9.200882352941177,-26.5,inf
0,105548790441.53307,105548790441.53307,436.1167762598423,-8.83,-27.33,-8.715,-27.0,inf
0,239799850891.4613,239799850891.4613,522.3620918504737,-9.08,-26.58,-8.715,-26.25,inf
