,Calories 2050,ΔCalories,Population 2050,min_lon,min_lat,max_lon,max_lat,percent_change_in_production
0,808106364711.987,-656598935750.1753,22901.917483507466,-90.025,-14.018333333333334,-89.85605263157895,-13.856111111111112,-44.82805759923152
0,11302975313052.564,-4043821638638.564,12682.189654508737,-90.025,-13.906111111111112,-89.85605263157895,-13.743888888888888,-26.349613221363168
0,44219673467889.77,-11728120936535.766,11349.819535163459,-90.025,-13.793888888888889,-89.85605263157895,-13.631666666666666,-20.962615347725055
0,14548271239352.855,-2209453462992.2773,26574.937812513363,-89.90605263157896,-14.0,-89.73710526315789,-13.968333333333334,-13.184686478845652
0,106657995419.98387,45489807284.98698,19648.12472291752,-89.90605263157896,-14.018333333333334,-89.73710526315789,-13.856111111111112,74.36840729137168
0,6118865097058.481,-1126660816960.8633,11801.500563276506,-89.90605263157896,-13.906111111111112,-89.73710526315789,-13.743888888888888,-15.549745185244468
0,40877657600583.23,-12542196142391.547,16465.907400837612,-89.90605263157896,-13.793888888888889,-89.73710526315789,-13.631666666666666,-23.47852954210112
0,51830978833459.33,-11731805476873.357,99760.15683711751,-89.7871052631579,-14.130555555555556,-89.61815789473684,-13.968333333333334,-18.457035204114327
0,105138489330.69392,-628879872592.7695,23758.155337981607,-89.7871052631579,-14.018333333333334,-89.75,-13.856111111111112,-85.67631345690276
0,7526958335145.714,-1659830112292.741,39724.812941013166,-89.7871052631579,-13.906111111111112,-89.61815789473684,-13.743888888888888,-18.067577388870326
0,92526319620591.78,-52104177277066.83,73547.98646450597,-89.7871052631579,-13.793888888888889,-89.61815789473684,-13.631666666666666,-36.025719605966685
0,16727928141424.35,-4219166215900.3066,14167.046577636267,-89.66815789473685,-14.242777777777778,-89.49921052631578,-14.080555555555556,-20.142011793750157
0,17441737999926.68,-3130947338354.9473,52975.160424191665,-89.66815789473685,-14.130555555555556,-89.49921052631578,-13.968333333333334,-15.21895312581718
0,429603467093.74603,-2034840607614.6318,21949.208385824142,-89.66815789473685,-14.018333333333334,-89.49921052631578,-13.856111111111112,-82.56793605086852
0,11585435937549.3,-10083518179886.887,13954.987669752487,-89.66815789473685,-13.906111111111112,-89.49921052631578,-13.743888888888888,-46.53440182317365
0,6437237346379.605,-4725978805025.614,22524.03473360974,-89.66815789473685,-13.793888888888889,-89.49921052631578,-13.631666666666666,-42.335279913313414
0,6547243593113.133,-7398830147486.986,6339.5388394606725,-89.54921052631579,-14.355,-89.38026315789473,-14.192777777777778,-53.0531408703752
0,16376819012239.309,-6756828930402.387,14547.596735180332,-89.54921052631579,-14.242777777777778,-89.38026315789473,-14.080555555555556,-29.207797002684078
0,33833176994131.062,-4685224928125.086,51912.1984771264,-89.54921052631579,-14.130555555555556,-89.38026315789473,-13.968333333333334,-12.16360153669287
0,27580630646148.08,-4171928247341.2104,43479.18920323234,-89.54921052631579,-14.018333333333334,-89.38026315789473,-13.856111111111112,-13.138872559328263
0,42840890326632.125,-18960233246393.734,61450.84822042713,-89.54921052631579,-13.906111111111112,-89.38026315789473,-13.743888888888888,-30.67943129543562
0,14134526655041.623,-4677418124143.612,123385.83092866439,-89.54921052631579,-13.793888888888889,-89.38026315789473,-13.631666666666666,-24.86408597860128
0,1051315376240.2672,-540245219477.002,11084.857042293997,-89.42,-13.681666666666667,-89.38026315789473,-13.519444444444444,-33.94437013147649
0,4030394897541.9316,-1981325348567.2983,2992.386811248933,-89.43026315789474,-14.355,-89.26131578947367,-14.192777777777778,-32.95771039661414
