,Calories 2050,ΔCalories,Population 2050,min_lon,min_lat,max_lon,max_lat,percent_change_in_production
0,24428472921.268696,24428472921.268696,1.3337038231684442,-19.945,-65.25,-19.83,-65.25,inf
0,46349119652.44685,46349119652.44685,14.226174113796738,-19.945,-65.03489010989011,-19.75,-64.83,inf
0,48563270848.022095,48563270848.022095,58.68296821941155,-19.945,-64.0,-19.567513661202188,-63.78686813186813,inf
0,23753645736.317226,23753645736.317226,12.003334408515995,-19.42,-65.17,-19.42,-65.17,inf
0,45271033409.917435,45271033409.917435,36.01000322554798,-19.33,-64.83,-19.240027322404373,-64.58554945054945,inf
0,67420158104.99826,67420158104.99826,63.573215571029166,-19.617513661202185,-64.5,-19.42,-64.42,inf
0,25278853474.08694,25278853474.08694,44.90136204667096,-19.617513661202185,-63.83,-19.5,-63.78686813186813,inf
0,23484817687.80476,23484817687.80476,12.003334408515995,-19.29002732240437,-64.63554945054946,-19.17,-64.58,inf
0,24054842178.30097,24054842178.30097,10.669630585347551,-19.0,-64.0,-18.91254098360656,-64.0,inf
0,24480713094.10885,24480713094.10885,108.47457761770012,-18.83,-65.83,-18.83,-65.78357142857142,inf
0,64143606664.21074,64143606664.21074,96.91581115024027,-18.96254098360656,-65.83357142857143,-18.585054644808746,-65.67,inf
0,53128524458.13211,53128524458.13211,24.006668817032,-18.96254098360656,-65.03489010989011,-18.83,-64.58554945054945,inf
0,25172334513.74829,25172334513.74829,4.44567941056148,-18.83,-63.83686813186813,-18.83,-63.75,inf
0,69854367668.73372,69854367668.73372,64.90691939419762,-18.42,-65.43423076923078,-18.25756830601093,-65.25,inf
0,41601996916.67819,41601996916.67819,5.779383233729925,-18.42,-64.33,-18.25756830601093,-64.18620879120878,inf
0,25063959121.597042,25063959121.597042,8.002222939010666,-18.5,-63.83,-18.5,-63.78686813186813,inf
0,48809564519.1525,48809564519.1525,59.572104101523834,-18.30756830601093,-66.0,-17.93008196721312,-65.92,inf
0,22857849410.32637,22857849410.32637,13.78160617274059,-18.08,-65.08,-18.08,-64.9848901098901,inf
0,65255219686.20169,65255219686.20169,22.2283970528074,-18.30756830601093,-65.03489010989011,-17.93008196721312,-64.75,inf
0,21636798287.717617,21636798287.717617,1.3337038231684442,-18.17,-64.25,-18.17,-64.18620879120878,inf
0,47288181151.76605,47288181151.76605,12.892470290628292,-18.17,-64.08,-17.93008196721312,-64.0,inf
0,23203930663.139828,23203930663.139828,0.4445679410561481,-17.75,-65.42,-17.75,-65.38423076923077,inf
0,22763324070.12396,22763324070.12396,0.0,-17.67,-65.03489010989011,-17.602595628415305,-65.0,inf
0,48300904349.57765,48300904349.57765,11.114198526403701,-17.75,-64.2362087912088,-17.602595628415305,-64.0,inf
0,48631429764.07636,48631429764.07636,0.0,-17.42,-65.43423076923078,-17.27510928961749,-65.17,inf
0,24574962138.752644,24574962138.752644,0.0,-16.75,-65.58,-16.75,-65.58,inf
0,21249462508.837208,21249462508.837208,0.0,-16.83,-65.03489010989011,-16.83,-65.0,inf
0,48052927586.88881,48052927586.88881,2.22283970528074,-16.42,-65.83357142857143,-16.292650273224048,-65.38423076923077,inf
0,70845155966.93513,70845155966.93513,16.44901381907748,-16.342650273224045,-66.33,-15.965163934426231,-66.18291208791209,inf
0,22920998347.56607,22920998347.56607,7.113087056898369,-16.17,-65.83,-16.17,-65.78357142857142,inf
0,69623162942.98752,69623162942.98752,0.0,-16.08,-65.43423076923078,-15.965163934426231,-65.33,inf
0,22055784651.17005,22055784651.17005,0.0,-16.342650273224045,-65.03489010989011,-16.25,-64.92,inf
0,46042423973.73234,46042423973.73234,21.339261170695107,-16.01516393442623,-65.92,-15.637677595628416,-65.78357142857142,inf
0,23031343427.35851,23031343427.35851,0.0,-15.75,-65.03489010989011,-15.637677595628416,-65.0,inf
0,22210903895.10929,22210903895.10929,12.447902349572143,-15.687677595628417,-65.58,-15.58,-65.58,inf
0,67160323057.89624,67160323057.89624,0.0,-15.687677595628417,-65.43423076923078,-15.5,-65.25,inf
0,70364056623.76297,70364056623.76297,0.0,-15.687677595628417,-64.83,-15.5,-64.75,inf
0,22735209274.966385,22735209274.966385,20.00555734752666,-15.17,-65.83,-15.17,-65.78357142857142,inf
