,Calories 2050,ΔCalories,Population 2050,min_lon,min_lat,max_lon,max_lat,percent_change_in_production
0,160214252352.33563,-70064697437.6866,619.7277098322705,-54.445,-4.67,-54.33,-4.67,-30.426010497952348
0,2388217187132.505,-1171422766633.7107,2389.1081152357397,-54.08,-5.695,-53.92227272727273,-5.42,-32.90846214360268
0,111313516722.67027,111313516722.67027,29.341484109705767,-54.08,-3.42,-54.08,-3.42,inf
0,351349684979.898,351349684979.898,6.668519115842223,-54.0,-2.33,-53.92227272727273,-2.33,inf
0,2329765141361.25,964300852074.7626,685.9683330496364,-53.972272727272724,-5.695,-53.83,-5.58,70.62073022639433
0,427365412728.4634,427365412728.4634,10.225062644291404,-53.972272727272724,-2.5,-53.92,-2.42,inf
0,1278533701947.7751,1278533701947.7751,380.9947254851189,-53.73590909090909,-5.695,-53.44954545454546,-4.943,inf
0,153026784139.7838,153026784139.7838,0.4445679410561481,-53.499545454545455,-4.0,-53.21318181818182,-3.92,inf
0,50380652305.4451,50380652305.4451,1.3337038231684442,-53.33,-3.589,-53.21318181818182,-3.5,inf
0,392528801182.74426,188340036490.64688,186.27396730252602,-53.26318181818182,-5.42,-53.17,-5.42,92.23819771604511
0,672110097448.7462,632557085214.1495,6.668519115842221,-53.26318181818182,-2.5,-52.97681818181818,-2.1350000000000002,1599.2639990661883
0,1806321835147.1777,878362074002.7335,8415.226556251826,-53.02681818181818,-5.33,-52.74045454545455,-5.17,94.65518988877896
0,105230677864.92024,105230677864.92024,7.113087056898369,-53.02681818181818,-2.42,-53.0,-2.42,inf
0,11591867553508.035,7333727643234.948,20264.295889221343,-52.790454545454544,-5.17,-52.50409090909091,-4.943,172.22843301935126
0,5534242186309.265,4294815011591.611,2189.4971097015296,-52.58,-4.993,-52.50409090909091,-4.58,346.51612448064856
0,326394128333.7559,326394128333.7559,24.45123675808815,-52.58,-4.291,-52.50409090909091,-4.17,inf
0,46275903067468.27,36624753987534.52,69953.21009312596,-52.55409090909091,-4.993,-52.26772727272728,-4.42,379.48594187279855
0,60176755823.13992,60176755823.13992,9.780494703235258,-52.42,-3.25,-52.42,-3.25,inf
0,4035400702430.054,2757879536504.2485,906.9185997545419,-52.317727272727275,-4.75,-52.031363636363636,-4.241,215.8774046225405
0,381303299661.63,381303299661.63,41.78938645927792,-52.08,-4.291,-52.031363636363636,-4.08,inf
0,8391291492725.889,5413567867819.111,1097.6382464676296,-52.08136363636363,-4.08,-51.795,-3.75,181.80222712873805
