,Calories 2050,ΔCalories,Population 2050,min_lon,min_lat,max_lon,max_lat,percent_change_in_production
0,627435689877.7686,15514036653.553133,904.6957600492614,-73.105,-9.954310344827586,-72.9467094017094,-9.708793103448276,2.535297872171971
0,169560996460.0714,38381120922.83617,639.288699238741,-73.105,-9.758793103448276,-72.9467094017094,-9.67,29.258391018934702
0,2057605200801.7637,847444360822.698,1165.212573508164,-73.105,-9.367758620689655,-72.9467094017094,-9.122241379310344,70.02741559852142
0,780126494447.0194,-992004314923.008,737.5382142121498,-72.99670940170941,-10.33,-72.83841880341879,-10.295344827586208,-55.978052504806584
0,1235488611409.1504,-1776397584717.5403,1347.0408614001285,-72.99670940170941,-10.345344827586208,-72.83841880341879,-10.099827586206896,-58.97957190421077
0,534157802300.16125,53728290772.17377,738.8719180353182,-72.99670940170941,-10.149827586206897,-72.83841880341879,-9.904310344827586,11.183386840931785
0,727134612889.2836,-3161981386598.374,1932.0922718300194,-72.99670940170941,-9.954310344827586,-72.83841880341879,-9.708793103448276,-81.30334469362512
0,6278471399051.956,287436616707.478,1966.3240032913427,-72.99670940170941,-9.758793103448276,-72.83841880341879,-9.513275862068966,4.797779134158109
0,929193581830.1688,498359319596.0578,997.1658917889399,-72.99670940170941,-9.563275862068966,-72.83841880341879,-9.5,115.67309364204057
0,316106125989.39825,-2529019686.524292,840.2334085961197,-72.99670940170941,-9.17,-72.83841880341879,-9.122241379310344,-0.7937039340589536
0,6489277375379.521,1035895881679.1562,923.8121815146757,-72.8884188034188,-10.540862068965518,-72.7301282051282,-10.295344827586208,18.99547799609842
0,657070275389.8369,-552153984450.3766,277.85496316009255,-72.8884188034188,-10.345344827586208,-72.7301282051282,-10.099827586206896,-45.66183484636158
0,3705894348507.215,-14683488664983.473,798.888590077898,-72.8884188034188,-10.149827586206897,-72.7301282051282,-9.904310344827586,-79.84764173007586
0,70730928881494.92,-6410365854625.186,3058.1828665252433,-72.8884188034188,-9.954310344827586,-72.7301282051282,-9.708793103448276,-8.3099018191921
0,51001408567974.05,3000890845726.615,2551.81998166229,-72.8884188034188,-9.758793103448276,-72.7301282051282,-9.513275862068966,6.251788497555633
0,21298051192633.906,2254904435770.5537,2333.5371226037214,-72.8884188034188,-9.563275862068966,-72.7301282051282,-9.317758620689654,11.84102850521731
0,9118932876532.514,-2190017395357.1948,2299.749959083454,-72.8884188034188,-9.367758620689655,-72.7301282051282,-9.122241379310344,-19.36534640886034
0,1697879854253.777,-1355393157536.1582,4702.195112550879,-72.78012820512821,-10.736379310344828,-72.6218376068376,-10.490862068965518,-44.391482592694175
0,3187708273691.6685,-2311782328111.061,5026.729709521866,-72.78012820512821,-10.540862068965518,-72.6218376068376,-10.295344827586208,-42.03629927748691
0,25194398849093.59,-5811706646938.677,2782.5507430704306,-72.78012820512821,-10.345344827586208,-72.6218376068376,-10.099827586206896,-18.74374918734111
0,132340037038227.44,3087674553378.5435,4517.25484907152,-72.78012820512821,-10.149827586206897,-72.6218376068376,-9.904310344827586,2.3888728175011087
0,254309432559040.5,6655299608121.234,7469.6305456253995,-72.78012820512821,-9.954310344827586,-72.6218376068376,-9.708793103448276,2.6873363786907634
0,164793802160146.8,4887764516806.398,5097.4160121497935,-72.78012820512821,-9.758793103448276,-72.6218376068376,-9.513275862068966,3.056647884495911
0,138916529136619.12,6632810419011.297,4485.690525256533,-72.78012820512821,-9.563275862068966,-72.6218376068376,-9.317758620689654,5.014079195317045
0,172754057480862.8,12116527621503.352,4080.244563013327,-72.78012820512821,-9.367758620689655,-72.6218376068376,-9.122241379310344,7.542775111215638
0,42181382154641.25,-13392763138248.35,3123.9789218015526,-72.78012820512821,-9.172241379310345,-72.6218376068376,-8.926724137931034,-24.098909785593914
0,17261373761064.021,-4240165656964.992,1649.3470613183094,-72.78012820512821,-8.976724137931035,-72.6218376068376,-8.731206896551724,-19.72028874085927
0,30565078588378.516,-5649350492575.148,1984.5512888746453,-72.78012820512821,-8.781206896551724,-72.6218376068376,-8.67,-15.599722640792157
0,482449775637.31384,-278367314136.5054,6219.505495375512,-72.67183760683761,-10.931896551724138,-72.51354700854701,-10.686379310344828,-36.58794181650944
0,1753150169014.115,-6888364821239.652,3361.8227702665918,-72.67183760683761,-10.736379310344828,-72.51354700854701,-10.490862068965518,-79.71246742045365
0,29064729865155.617,3313419345800.672,3986.44072745048,-72.67183760683761,-10.540862068965518,-72.51354700854701,-10.295344827586208,12.866993092682687
0,74197907419835.72,13086044234591.703,3030.1750862387053,-72.67183760683761,-10.345344827586208,-72.51354700854701,-10.099827586206896,21.413263403416316
0,79154758272519.84,1163718143229.4768,3472.0756196485163,-72.67183760683761,-10.149827586206897,-72.51354700854701,-9.904310344827586,1.4921177372430483
0,127789189905898.77,2491611991090.3594,3859.294296308421,-72.67183760683761,-9.954310344827586,-72.51354700854701,-9.708793103448276,1.9885555910621466
0,87725449570272.88,5323721594189.266,2536.2601037253244,-72.67183760683761,-9.758793103448276,-72.51354700854701,-9.513275862068966,6.460691692939302
0,69639779451653.89,5808303847462.32,2121.922782660995,-72.67183760683761,-9.563275862068966,-72.51354700854701,-9.317758620689654,9.099435337322692
0,90044918324730.66,9258164509927.59,1987.2186965209817,-72.67183760683761,-9.367758620689655,-72.51354700854701,-9.122241379310344,11.460003122728724
0,37549173502347.15,2483288701906.66,1323.0341925830967,-72.67183760683761,-9.172241379310345,-72.51354700854701,-8.926724137931034,7.08177967286161
