,percent_cropland 2050,Calories 2050,Population 2050,Precipitation 2050,Temperature 2050,max_lat,max_lon,min_lat,min_lon,workability_index 2050,ΔCalories,percent_change_in_production
0,100.0,26262026676482.7,6876.1323443154415,1162.0,292.0,-11.032179487179489,-5.300125,-11.08,-5.445,1.0,-12555436495944.465,-32.34481460102948
1,100.0,105559681049228.8,26275.29902024152,1172.75,293.25,-10.89346153846154,-5.300125,-11.08217948717949,-5.445,1.0,-19741594617387.24,-15.755302180572274
2,97.97086368366286,49458573703455.76,13063.628947934907,1186.0,293.0,-10.754743589743589,-5.300125,-10.94346153846154,-5.445,1.0,16962984426386.305,52.20088265442303
3,95.213319458897,100750036796707.12,34359.767028347575,1189.5,297.5,-10.616025641025642,-5.300125,-10.804743589743593,-5.445,1.0,-20912558385601.53,-17.18897936893795
4,99.21956295525491,52227660745714.57,19846.84659256962,1193.0,302.5,-10.477307692307694,-5.300125,-10.666025641025644,-5.445,1.0,-17613417992812.375,-25.219281132174373
5,100.0,50666525205033.72,15494.971017570984,1207.0,301.5,-10.338589743589745,-5.300125,-10.527307692307692,-5.445,1.0,-24959067721109.15,-33.00346715361897
6,90.11446409989594,24484649897696.023,4729.313756955303,1129.0,298.0,-11.170897435897436,-5.20525,-11.359615384615385,-5.350125,1.0,-4067877141617.6133,-14.246995146932528
7,100.0,49060972874969.94,14425.785119330947,1148.5,294.5,-11.032179487179489,-5.20525,-11.220897435897436,-5.350125,1.0,15231739043630.527,45.025373969657686
8,100.0,52406280061583.28,12426.563088401452,1166.0,292.5,-10.89346153846154,-5.20525,-11.08217948717949,-5.350125,1.0,-20223982124917.53,-27.84511788348796
9,100.0,23313196470213.81,6316.421306525752,1180.0,293.0,-10.754743589743589,-5.20525,-10.94346153846154,-5.350125,1.0,23313196470213.81,inf
10,100.0,56141553349515.02,17185.218329466454,1173.5,300.0,-10.616025641025642,-5.20525,-10.804743589743593,-5.350125,1.0,-8340620519450.457,-12.934769439379432
11,100.0,26618138880338.33,8189.83061013636,1184.0,303.0,-10.477307692307694,-5.20525,-10.666025641025644,-5.350125,1.0,-13637648956753.44,-33.877486169051394
12,100.0,51539177903894.53,13389.941816670125,1204.0,303.0,-10.338589743589745,-5.20525,-10.527307692307692,-5.350125,1.0,-24656215123194.15,-32.35919409776976
13,100.0,21779495551605.832,4660.4057260916,1217.0,303.0,-10.33,-5.20525,-10.388589743589744,-5.350125,1.0,1018059006307.1444,4.903605798596233
14,97.29448491155044,54855127673489.73,7906.1962637425395,1063.0,305.0,-11.587051282051284,-5.110375,-11.775769230769232,-5.25525,2.0,-5779731128979.365,-9.532027027238687
15,99.42767950052028,57660803643657.94,8506.362984168336,1084.5,305.5,-11.448333333333332,-5.110375,-11.637051282051285,-5.25525,1.5,-12786024649807.045,-18.149893983223013
16,96.46201873048908,27466569709204.89,4514.142873484127,1101.0,304.0,-11.309615384615386,-5.110375,-11.498333333333333,-5.25525,2.0,2237225433107.5,8.86755283302023
17,100.0,54685659753021.95,10076.576951978652,1118.5,300.5,-11.170897435897436,-5.110375,-11.359615384615385,-5.25525,1.0,10002166510965.168,22.384477544721108
18,100.0,53846069150827.02,14188.830406748015,1140.5,296.5,-11.032179487179489,-5.110375,-11.220897435897436,-5.25525,1.0,-18835141121749.965,-25.914732364957004
19,100.0,52932774077026.14,13553.542818978789,1160.5,294.0,-10.89346153846154,-5.110375,-11.08217948717949,-5.25525,1.0,-25367995419346.113,-32.39814318877343
20,97.81477627471384,25841415179187.41,5894.081762522411,1173.0,294.0,-10.754743589743589,-5.110375,-10.94346153846154,-5.25525,1.0,-6048380119238.367,-18.96650656624611
21,96.20187304890742,54076986431478.16,15378.049649073218,1163.5,302.5,-10.616025641025642,-5.110375,-10.804743589743593,-5.25525,1.0,-14011138000099.71,-20.57794676688383
22,100.0,27858934782838.68,7206.44632452016,1178.0,304.0,-10.477307692307694,-5.110375,-10.666025641025644,-5.25525,2.0,-10233048108922.293,-26.864046794307537
23,97.50260145681581,54312669565908.66,11977.994035875798,1204.5,303.5,-10.338589743589745,-5.110375,-10.527307692307692,-5.25525,1.0,-26998934083915.0,-33.20428188846027
24,97.81477627471384,23949272432300.965,4932.481306017962,1224.0,304.0,-10.33,-5.110375,-10.388589743589744,-5.25525,2.0,-5208287710008.684,-17.86256354985991
25,100.0,28710250504392.36,4049.569375080453,1046.0,306.0,-11.725769230769231,-5.015499999999999,-11.91448717948718,-5.160375,2.0,-2361019135105.84,-7.598721141747234
26,100.0,58052313043156.98,8966.49080316145,1066.0,304.0,-11.587051282051284,-5.015499999999999,-11.775769230769232,-5.160375,2.5,-5523165125851.688,-8.687571505430036
27,99.8959417273673,57700285061747.81,9119.422174884769,1083.5,305.5,-11.448333333333332,-5.015499999999999,-11.637051282051285,-5.160375,2.0,-18588885481225.32,-24.366348918100158
28,97.81477627471384,28066289422447.54,4779.10536635359,1098.0,304.0,-11.309615384615386,-5.015499999999999,-11.498333333333333,-5.160375,2.0,-922538598473.4376,-3.1823935683348403
29,100.0,51679758240891.21,11314.254099878965,1114.0,301.5,-11.170897435897436,-5.015499999999999,-11.359615384615385,-5.160375,1.0,18187190809061.4,54.30216971595053
30,100.0,55489962373969.64,14862.795405389143,1141.5,295.0,-11.032179487179489,-5.015499999999999,-11.220897435897436,-5.160375,1.0,-9846163014457.004,-15.070013650061211
31,99.32362122788766,49391925375703.08,15942.206366273467,1155.0,295.5,-10.89346153846154,-5.015499999999999,-11.08217948717949,-5.160375,1.0,7208138685197.926,17.087462389478535
32,92.50780437044745,24491458049947.57,5757.154836677118,1174.0,294.0,-10.754743589743589,-5.015499999999999,-10.94346153846154,-5.160375,1.0,-6497499204048.527,-20.96714371765659
33,98.69927159209158,54296436611790.24,15722.145235450676,1169.5,301.5,-10.616025641025642,-5.015499999999999,-10.804743589743593,-5.160375,1.0,-13971728555158.475,-20.465950009042782
34,100.0,22524821407387.76,7922.200709620558,1180.0,304.0,-10.477307692307694,-5.015499999999999,-10.666025641025644,-5.160375,1.0,22524821407387.76,inf
35,100.0,54480276498263.49,11254.237427836391,1210.5,304.0,-10.338589743589745,-5.015499999999999,-10.527307692307692,-5.160375,1.5,-18666117118082.625,-25.51884815536728
36,95.31737773152966,53629067203712.48,9474.631959788629,1245.0,303.0,-10.199871794871797,-5.015499999999999,-10.388589743589744,-5.160375,1.0,-18773966208064.53,-25.92980614678331
37,100.0,28563250714463.84,6180.383516562571,1039.0,306.0,-11.864487179487181,-4.920624999999999,-11.92,-5.0655,2.0,-12581198092260.98,-30.578117965222702
38,94.79708636836628,27704250402009.344,5990.997573672651,1052.0,305.0,-11.725769230769231,-4.920624999999999,-11.91448717948718,-5.0655,2.0,-9472763267373.227,-25.48016188609199
39,98.07492195629551,56135941605117.17,11696.1379612462,1071.5,303.0,-11.587051282051284,-4.920624999999999,-11.775769230769232,-5.0655,2.5,-17890927209751.977,-24.16815339643055
40,100.0,57883593504737.41,10220.172396939786,1081.0,305.5,-11.448333333333332,-4.920624999999999,-11.637051282051285,-5.0655,1.5,-9893636225905.367,-14.597286234955618
41,95.31737773152963,27268186153370.57,5426.8408564723995,1100.0,303.0,-11.309615384615386,-4.920624999999999,-11.498333333333333,-5.0655,1.0,-10009642103771.523,-26.851462576427764
42,100.0,57005808275334.55,13584.66257485272,1109.0,302.0,-11.170897435897436,-4.920624999999999,-11.359615384615385,-5.0655,1.0,-10513795936400.434,-15.571471514302992
43,100.0,54913348630673.39,20278.96663127619,1138.0,295.5,-11.032179487179489,-4.920624999999999,-11.220897435897436,-5.0655,1.0,-16361077489909.615,-22.95504626333957
44,97.29448491155048,53068198355097.33,20517.699615623347,1158.0,294.0,-10.89346153846154,-4.920624999999999,-11.08217948717949,-5.0655,1.0,-27046208424902.71,-33.75948161130813
45,83.97502601456816,22664240109888.99,7037.510506918825,1165.0,297.0,-10.754743589743589,-4.920624999999999,-10.94346153846154,-5.0655,1.0,3025883923346.9336,15.408030563273599
46,97.81477627471384,54011870635312.84,25156.321512603197,1167.5,303.5,-10.616025641025642,-4.920624999999999,-10.804743589743593,-5.0655,1.0,-16553114671709.79,-23.45797225024352
47,100.0,27191428504057.42,13315.254402572693,1183.0,305.0,-10.477307692307694,-4.920624999999999,-10.666025641025644,-5.0655,1.0,-352002052226.4336,-1.2779891433898571
48,100.0,56079418564514.56,11902.41748589625,1219.0,304.0,-10.338589743589745,-4.920624999999999,-10.527307692307692,-5.0655,1.0,-20647660138371.992,-26.91052557640933
