,Country,Calories2000,Population2000,Caloryrequirements2000,Cropland2000,Sufficiency2000,Percentageoftotalcal2000,Yield2000,Calories2050,Population2050,Caloryrequirements2050,Cropland2050,Sufficiency2050,Percentageoftotalcal2050,Yield2050,diffCalories,diffPopulation,diffCaloryrequirements,diffYield
0,Afghanistan,2.28360795634454e+16,19445027.75772285,1.6714459734844622e+16,15.554691276551392,136.6246945801008,0.13534478180095602,2473384673.240557,1.7929572120197428e+16,57148882.08663252,4.912375031961715e+16,13.424788088547821,36.49878521802804,0.1396401878456448,2530081341.0341425,-20.8328012468626,193.89971975707297,193.89971975707297,2.2922705233433605
1,Albania,1.0068587383244016e+16,2927076.764282226,2516042009657895.0,50.13049146602558,400.1756466941121,0.059674462012752685,6714504501.839081,7782158681095203.0,2911399.0700534075,2502565855641157.0,48.72269073929657,310.96718847789975,0.06060948319277479,5494263834.273597,-22.708535121360306,-0.5356092610937577,-0.5356092610937703,-18.17320499571136
2,Algeria,2.037170641766593e+16,25647692.48662484,2.2046115269190544e+16,16.241037290848375,92.40497098432304,0.12073894524459862,508894731.4221539,5.520070013774551e+16,37697396.670231946,3.2403739742814624e+16,28.942624510520226,170.35286845243226,0.4299174617648944,4550627760.856938,171.0427857045886,46.98163076421389,46.98163076421389,794.2178961334074
3,Angola,1.3063030079936026e+16,14172930.737222195,1.2182696938447768e+16,6.381354054957018,107.22609407371849,0.07742191258863862,1874494007.6105163,1.5391225113491984e+16,30282684.16415363,2.603023824040236e+16,7.669518451150624,59.12825296236733,0.11987087877024925,2157055530.296022,21.030164443547317,113.665647039554,113.665647039554,15.074015789770213
4,Argentina,4.744144438026365e+17,32036182.176091075,2.7537501294013484e+16,33.925728297770746,1722.7940862803405,2.8117575611565324,6539490389.200214,2.794708668391785e+17,37747540.53258967,3.2446842153300764e+16,39.42970873870171,861.3191555553223,2.1765920614941225,4484520285.980296,-41.021434150531256,17.827837053445887,17.8278370534459,-31.424009837427768
5,Armenia,7610412703700250.0,2921641.295547485,2511369816620229.0,56.86274033084696,303.0383121328682,0.04510536250041548,4633777030.607477,5649657217256502.0,2332268.2015079446,2004759439311191.5,55.2107302154934,281.81222676759904,0.0440010051434799,3673586024.8171616,-25.764115072109213,-20.172671263160602,-20.172671263160595,-20.72156254925449
6,Australia,3.0872952584392403e+17,12499708.155725876,1.0744436637958068e+16,30.625231356733128,2873.3896084718012,1.829776875438168,3868227275.339664,3.767193178543308e+17,24035346.096225973,2.0660182620663444e+16,32.18057342267827,1823.4074924272547,2.9339883828573288,5873685324.317275,22.027154258419515,92.28725820463137,92.28725820463137,51.84436968744331
7,Austria,3.1303174165557e+16,7944847.985534667,6829192707165962.0,25.78146521186821,458.37298064103777,0.1855275230296763,10885929598.806862,1.726109576875357e+16,9241909.54031968,7944114393120288.0,23.917424315294145,217.2815610976337,0.13443391952757164,8760153544.914633,-44.846640275139244,16.32581966510367,16.325819665103666,-19.527740231989213
8,Azerbaijan,2.566119288203999e+16,6341322.702545166,5450842462040261.0,59.15708124492211,470.77480335828596,0.1520886517198639,5847983887.331536,1.692237478236675e+16,7822769.283483251,6724256906850115.0,59.25541576009841,251.66163364650208,0.13179587206892449,3930023837.3834686,-34.04678683836484,23.361791386889816,23.36179138688981,-32.796944842870325
9,Bangladesh,7.937121323588998e+16,119931188.59765624,1.0308985143883037e+17,74.79319985456921,76.99226657920433,0.470416977959938,8024165907.228915,5.5089499525553736e+16,165173462.49475726,1.4197897902393098e+17,71.46852633092315,38.801166133381074,0.4290514023703415,5805176115.479051,-30.59241482089373,37.72352665400429,37.723526654004296,-27.65383738826726
10,Belarus,6.558604641370143e+16,9971178.170715332,8570975476092632.0,54.41177036934922,765.2109914051584,0.38871510831741546,5615332620.133234,4.714416989907466e+16,7901523.150559165,6791951762141894.0,52.012848263276936,694.1181496879091,0.3671711012622474,4384834675.028393,-28.115680261132752,-20.75637386798084,-20.75637386798084,-21.91318000812649
11,Belgium,2.265201360228241e+16,10655538.871582033,9159234825540124.0,56.94057073448121,247.31338407350648,0.1342538604244836,13025545267.657991,1.3586237264777326e+16,13803233.867580796,1.1864914751725762e+16,49.332518403614614,114.50766861010271,0.10581316224673602,9351962238.72104,-40.021944612427866,29.540458102907987,29.540458102907987,-28.20291168968059
12,Belize,1033942627966508.8,173231.60052490234,148905553021192.94,12.518210197710715,694.3613632859973,0.006127966886261843,5043793182.222222,1176153348357028.2,256896.54768032578,220821849972316.1,16.62802514437326,532.6254392418504,0.00916018928945032,4753518957.045944,13.75421774322345,48.2965849775177,48.2965849775177,-5.755077868763611
